,paropt,parmin,parmax,parphase
mortality.natural.larva.rate.sp0,0.5,0,10,1
mortality.natural.larva.rate.sp1,0.5,0,10,1
mortality.natural.larva.rate.sp2,0.5,0,10,1
mortality.natural.larva.rate.sp3,0.5,0,10,1
mortality.natural.larva.rate.sp4,0.5,0,10,1
mortality.natural.larva.rate.sp5,0.5,0,10,1
mortality.natural.larva.rate.sp6,0.5,0,10,1
mortality.natural.larva.rate.sp7,0.5,0,10,1
mortality.natural.larva.rate.sp8,0.5,0,10,1
mortality.natural.larva.rate.sp9,0.5,0,10,1
mortality.natural.larva.rate.sp10,0.5,0,10,1
mortality.natural.larva.rate.sp11,0.5,0,10,1
mortality.natural.larva.rate.sp12,0.5,0,10,1
mortality.natural.larva.rate.sp13,0.5,0,10,1
mortality.natural.larva.rate.sp14,0.5,0,10,1
mortality.natural.larva.rate.sp15,0.5,0,10,1
plankton.accessibility2fish.plk0,0.5,0,5,1
plankton.accessibility2fish.plk1,0.5,0,5,1
plankton.accessibility2fish.plk2,0.5,0,5,1
plankton.accessibility2fish.plk3,0.5,0,5,1
plankton.accessibility2fish.plk4,0.5,0,5,1
plankton.accessibility2fish.plk5,0.5,0,5,1
plankton.accessibility2fish.plk6,0.5,0,5,1
plankton.accessibility2fish.plk7,0.5,0,5,1
predation.ingestion.rate.max.bioen.sp0,8.1026058782005,8.1026058782005,24.3078176346015,1
predation.ingestion.rate.max.bioen.sp1,8.44529425855938,8.44529425855938,25.3358827756781,1
predation.ingestion.rate.max.bioen.sp2,6.34306808746491,6.34306808746491,19.0292042623947,1
predation.ingestion.rate.max.bioen.sp3,6.34306958746491,6.34306958746491,19.0292087623947,1
predation.ingestion.rate.max.bioen.sp4,10.4394274831766,10.4394274831766,31.3182824495298,1
predation.ingestion.rate.max.bioen.sp5,7.44383632182104,7.44383632182104,22.3315089654631,1
predation.ingestion.rate.max.bioen.sp6,8.40937175106541,8.40937175106541,25.2281152531962,1
predation.ingestion.rate.max.bioen.sp7,9.56552407660748,9.56552407660748,28.6965722298224,1
predation.ingestion.rate.max.bioen.sp8,17.30340682725,17.30340682725,51.91022048175,1
predation.ingestion.rate.max.bioen.sp9,12.0725998831766,12.0725998831766,36.2177996495298,1
predation.ingestion.rate.max.bioen.sp10,6.82308987731749,6.82308987731749,20.4692696319525,1
predation.ingestion.rate.max.bioen.sp11,9.48345584218429,9.48345584218429,28.4503675265529,1
predation.ingestion.rate.max.bioen.sp12,15.981042675,15.981042675,47.943128025,1
predation.ingestion.rate.max.bioen.sp13,7.57550718357426,7.57550718357426,22.7265215507228,1
predation.ingestion.rate.max.bioen.sp14,10.1825661777046,10.1825661777046,30.5476985331138,1
predation.ingestion.rate.max.bioen.sp15,3.6,3.6,10.8,1
mortality.fishing.rate.sp0,0.256558133172899,0,2,1
mortality.fishing.rate.sp1,0.35,0,2,1
mortality.fishing.rate.sp2,0.024,0,2,1
mortality.fishing.rate.sp3,1.1152,0,2,1
mortality.fishing.rate.sp4,0.243,0,2,1
mortality.fishing.rate.sp5,0.133,0,2,1
mortality.fishing.rate.sp6,0.2152114,0,2,1
mortality.fishing.rate.sp7,0.282,0,2,1
mortality.fishing.rate.sp8,0.377,0,2,1
mortality.fishing.rate.sp9,0.303,0,2,1
mortality.fishing.rate.sp10,0.15,0,2,1
mortality.fishing.rate.sp11,0.244,0,2,1
mortality.fishing.rate.sp12,0.15,0,2,1
mortality.fishing.rate.sp13,0.56,0,2,1
mortality.fishing.rate.sp14,0.2,0,2,1
mortality.fishing.rate.sp15,0.2,0,2,1
