"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","AtlanticHerring","AtlanticMackerel","Sandeel","EuropeanSprat","NorwayPout","EuropeanPlaice","CommonSole","Saithe","AtlanticCod","Haddock","HorseMackerel","Whiting","CommonDab","GreyGurnard","Hake","Shrimp"
0.083333336,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
0.16666667,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
0.25,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
0.33333334,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
0.41666666,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
0.5,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
0.5833333,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
0.6666667,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
0.75,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
0.8333333,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
0.9166667,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
1.0,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
1.0833334,22.1,30.0,13.5,11.5,15.0,22.1,18.8,55.4,37.8,33.5,22.0,20.2,13.0,25.0,40.0,4.5
