"Ingestion rate (in g)"
"Time","AtlanticHerring","AtlanticMackerel","Sandeel","EuropeanSprat","NorwayPout","EuropeanPlaice","CommonSole","Saithe","AtlanticCod","Haddock","HorseMackerel","Whiting","CommonDab","GreyGurnard","Hake","Shrimp"
0.083333336,-0.1327104,NaN,-0.13271047,NaN,-0.087183796,-0.124232784,NaN,-0.13271068,-0.20769346,NaN,NaN,-0.13271086,NaN,NaN,-0.13271098,NaN
0.16666667,NaN,NaN,-0.028503412,NaN,0.02483713,NaN,NaN,-4.1652875E-4,NaN,NaN,NaN,-0.0023541187,NaN,NaN,-0.021102326,NaN
0.25,NaN,NaN,NaN,NaN,0.06989658,NaN,NaN,0.04616373,NaN,-0.13271077,NaN,NaN,NaN,NaN,0.02426811,-0.083629206
0.33333334,NaN,NaN,NaN,NaN,0.094508596,NaN,-0.14395837,NaN,NaN,-0.0018881601,NaN,NaN,-0.3645256,-0.13271093,0.04932186,-0.025563627
0.41666666,NaN,-0.13271044,NaN,-0.13271052,0.06281067,NaN,NaN,NaN,NaN,NaN,-0.13833468,NaN,NaN,-0.010504579,NaN,0.00519817
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.022772264
0.5833333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.6666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9166667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0833334,NaN,NaN,NaN,NaN,NaN,-0.090112664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.1666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.042331893
1.3333334,NaN,NaN,NaN,NaN,NaN,NaN,-0.13271065,NaN,NaN,NaN,NaN,NaN,-0.263263,NaN,NaN,NaN
1.4166666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.04323209,NaN,NaN,NaN,NaN,NaN
1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5833334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.6666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.8333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.9166666,NaN,NaN,NaN,NaN,NaN,NaN,0.107231334,NaN,NaN,NaN,NaN,NaN,0.11981533,NaN,NaN,NaN
2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10765688,NaN,NaN,0.15119444,NaN,NaN,NaN,NaN
2.0833333,NaN,NaN,NaN,NaN,NaN,-0.124232784,0.113974884,-0.042746946,NaN,NaN,NaN,-0.0020627857,NaN,NaN,NaN,0.03175782
2.1666667,NaN,NaN,NaN,NaN,NaN,NaN,0.11623683,NaN,NaN,NaN,NaN,NaN,0.13115287,NaN,NaN,NaN
2.25,NaN,NaN,NaN,NaN,NaN,NaN,0.118118994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.04019159
2.3333333,NaN,NaN,NaN,NaN,NaN,NaN,-0.090640984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.4166667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5833333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.6666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
