"Mean abundance (number of fish), excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","Sandeel","EuropeanSprat","NorwayPout","EuropeanPlaice","CommonSole","Saithe","AtlanticCod","Haddock","HorseMackerel","Whiting","CommonDab","GreyGurnard","Hake","Shrimp"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5833333,3.06363136E8,0.0,1.94958442E11,0.0,4.4446812E9,8.7681222E8,0.0,2.87032218E9,3.96972832E8,0.0,0.0,9.6437043E9,0.0,0.0,1.21185872E8,0.0
0.6666667,1.33046093E9,0.0,9.8915929E11,0.0,2.23511491E10,3.66617805E9,0.0,1.20152648E10,2.33583667E9,0.0,0.0,5.1923579E10,0.0,0.0,4.34388608E8,0.0
0.75,1.85845389E9,0.0,1.0523978E12,0.0,2.93396132E10,2.47947904E9,0.0,1.58600827E10,4.23079526E9,3.39861312E8,0.0,6.7731194E10,0.0,0.0,6.5989702E8,9.9896975E10
0.8333333,1.84172314E9,0.0,8.3788982E11,0.0,3.4793755E10,1.58711539E9,1.60076416E8,1.62702879E10,3.9651305E9,1.37874982E9,0.0,4.915406E10,2.94925824E8,1.27148568E8,7.5515136E8,4.02423775E11
0.9166667,1.56313472E9,1.22050176E9,7.0333019E11,2.6193494E7,3.2708479E10,8.4274662E8,4.8273424E8,1.39903007E10,3.80419507E9,2.28013005E9,2.93536717E9,3.3628629E10,6.3875802E8,4.58930848E8,8.0173888E8,4.61344244E11
1.0,9.2642221E8,6.1153142E9,5.33856584E11,4.1610544E8,2.7887403E10,2.31725728E8,1.55233888E8,1.15043052E10,2.96537754E9,3.16254694E9,1.07694336E10,2.52698624E10,1.22250624E9,8.1112109E8,8.5206112E8,2.17865486E11
1.0833334,3.59960768E8,8.1035233E9,4.11232076E11,5.38744E8,1.84772751E10,1.08751664E8,0.0,8.2990761E9,1.77293184E9,2.69380762E9,1.1107159E10,2.17252106E10,6.3293338E8,8.6412915E8,6.5135706E8,1.13224974E11
1.1666666,1.97405136E8,6.6620503E9,3.04862822E11,5.24821344E8,1.33175859E10,8.1350392E7,0.0,5.7558298E9,1.40129498E9,1.80890637E9,8.1928018E9,1.76293417E10,3.68094912E8,7.1239091E8,4.38409952E8,7.3917096E10
1.25,1.12588712E8,4.8458762E9,2.3588148E11,5.2586848E8,7.7426719E9,5.4119136E7,0.0,3.54905626E9,6.230841E8,8.9217933E8,6.075607E9,1.39095071E10,2.67954464E8,6.8379181E8,3.0268144E8,5.030699E10
1.3333334,9.49032E7,3.34610074E9,1.70506191E11,3.92020672E8,3.71878579E9,0.0,0.0,1.8186857E9,3.90146496E8,7.3629165E8,5.1664963E9,9.5712184E9,1.61187888E8,4.1084176E8,2.06648896E8,4.0488608E10
1.4166666,1.61560512E8,2.88693427E9,1.9340696E11,2.86712608E8,2.45039155E9,0.0,0.0,1.37086118E9,2.88384032E8,5.484544E8,4.6475325E9,7.8442045E9,1.2349208E8,3.17274176E8,1.857852E8,2.82905354E10
1.5,3.23366688E8,2.4811392E9,3.13703563E11,2.30341168E8,1.28125862E9,0.0,0.0,1.20246605E9,2.58533616E8,3.66635424E8,4.03385907E9,6.1616666E9,1.014238E8,2.1597056E8,2.1298888E8,2.26601062E10
1.5833334,4.5632336E8,2.44349082E9,4.44060041E11,1.8266512E8,1.8675296E9,4.02370336E8,0.0,1.42610278E9,7.8365606E8,1.94844496E8,3.53841818E9,8.005097E9,1.0100208E8,1.69091264E8,2.44465168E8,1.6416382E10
1.6666666,5.5880813E8,2.33156659E9,4.0755898E11,9.6271448E7,3.95444019E9,9.8547251E8,0.0,1.7452032E9,1.40057139E9,1.684284E8,2.46431667E9,1.75759852E10,8.7294968E7,1.46059024E8,1.69476128E8,1.38540278E10
1.75,4.385592E8,1.73825856E9,2.87945556E11,7.446376E7,4.8107054E9,4.60122784E8,0.0,1.30510938E9,1.35020774E9,1.80570752E8,2.45400883E9,1.4362196E10,8.642632E7,1.2570776E8,1.65819392E8,2.94198395E10
1.8333334,1.87456992E8,1.65769126E9,1.06619585E11,2.798142E7,4.3268644E9,6.3002108E7,0.0,1.07840794E9,8.7191302E8,4.73844832E8,1.29246758E9,7.2343311E9,1.52725392E8,2.04478544E8,1.68278128E8,9.0264936E10
1.9166666,1.68844784E8,1.65079514E9,7.6205392E10,4.4946264E7,5.5277056E9,0.0,3.12493376E8,8.4162771E8,6.10688E8,7.4497286E8,2.62803174E9,1.01161585E10,4.53523584E8,2.83151104E8,1.48827568E8,1.33512921E11
2.0,1.28258184E8,2.70204467E9,4.9773076E10,3.33114016E8,6.2024924E9,0.0,3.11194048E8,7.9157043E8,5.6556512E8,1.58122918E9,6.3102024E9,9.7317396E9,7.7580666E8,4.32381408E8,1.86328528E8,8.7588471E10
2.0833333,1.25795944E8,4.27297434E9,3.7850874E10,4.50904576E8,5.7683108E9,0.0,6.0810099E8,7.2987418E8,5.4375859E8,1.98775462E9,9.106903E9,9.6570747E9,8.2258112E8,6.2897043E8,1.5446816E8,7.7754687E10
2.1666667,1.11579E8,5.8031892E9,3.4366353E10,5.24857568E8,5.5639286E9,0.0,4.9390432E8,6.8991373E8,4.95742976E8,1.6663776E9,1.29901158E10,9.3953475E9,6.3633734E8,9.626768E8,1.034396E8,6.8581589E10
2.25,8.7538104E7,5.5223936E9,8.0857999E9,5.8920358E8,5.4384922E9,0.0,3.80414912E8,6.1487738E8,3.91197792E8,1.47970624E9,1.68575109E10,9.2922532E9,5.8451123E8,1.06635341E9,6.9318528E7,6.8006642E10
2.3333333,4.8489792E7,3.99755699E9,7.3178286E9,5.7364621E8,5.280447E9,0.0,3.42801824E8,709215.06,3.39228832E8,1.3617353E9,1.2495873E10,8.9940122E9,3.62966624E8,9.4395194E8,6.0287656E7,5.1924673E10
2.4166667,2.44425664E8,3.04139136E9,6.2336676E10,4.95841408E8,5.1662474E9,0.0,3.05420096E8,706266.2,2.66966016E8,1.19908211E9,9.4974874E9,8.7127101E9,6.4922772E7,8.2993453E8,9.0721528E7,4.8374202E10
2.5,5.9450086E8,2.15110016E9,1.69073E11,3.937848E8,4.0566272E9,0.0,3.04150176E8,703329.5,2.91720672E8,7.100343E8,6.7313295E9,7.8532183E9,4.8648476E7,7.7058112E8,3.0689968E8,4.6821335E10
