"Mean biomass (tons), excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","Sandeel","EuropeanSprat","NorwayPout","EuropeanPlaice","CommonSole","Saithe","AtlanticCod","Haddock","HorseMackerel","Whiting","CommonDab","GreyGurnard","Hake","Shrimp"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5833333,3.4281065,0.0,688.30597,0.0,456.49808,51.081577,0.0,146.00926,136.66737,0.0,0.0,522.193,0.0,0.0,3.7659898,0.0
0.6666667,20.467905,0.0,4470.539,0.0,3194.1406,262.22778,0.0,827.59985,1072.7251,0.0,0.0,3700.1736,0.0,0.0,20.913658,0.0
0.75,42.892254,0.0,6481.1084,0.0,6260.778,227.55737,0.0,1613.8951,2731.2288,41.105923,0.0,6696.7354,0.0,0.0,48.795128,11.490409
0.8333333,61.897594,0.0,7923.2065,0.0,11002.552,208.80655,4.475425,2540.657,3885.974,236.59726,0.0,6925.1416,5.333922,4.2355413,88.91348,60.373695
0.9166667,83.675865,16.535728,9694.779,0.06629636,15789.602,152.06233,15.015219,3389.9883,5790.698,570.5988,19.517344,6949.792,16.875767,18.042269,144.92607,102.63284
1.0,80.654625,107.89464,10383.093,1.174836,19774.592,48.584476,7.6496882,4084.5774,7016.136,1124.6165,93.71807,8391.689,40.51875,37.749268,216.15067,80.85425
1.0833334,46.009018,185.68515,10745.13,2.2282028,21148.293,26.320251,0.0,4285.2295,7041.2456,1458.3773,117.885,10382.374,28.427763,50.129993,266.42807,69.638466
1.1666666,33.17377,243.6332,9945.33,3.355822,19842.244,26.19823,0.0,3943.34,8166.059,1532.6366,131.96352,10082.903,28.958237,57.54019,285.3421,72.27459
1.25,26.420584,273.05118,9465.313,4.679353,13656.496,23.87543,0.0,3038.956,4498.0117,1057.2172,148.71965,10615.076,31.266071,68.53312,281.3363,73.06672
1.3333334,31.06651,310.55713,8367.318,5.45839,7994.999,0.0,0.0,2164.8625,3032.9846,1270.9814,192.87225,9727.252,28.236252,55.854126,277.6195,81.08953
1.4166666,43.153374,426.713,7281.52,5.96895,6542.867,0.0,0.0,2093.3394,2748.6091,1484.5078,258.18893,9891.077,33.978813,61.58229,329.58734,78.6188
1.5,60.027702,541.5394,6984.848,6.619451,4413.7085,0.0,0.0,2158.0405,1437.5907,1354.7465,318.90176,9074.391,34.643486,60.455402,311.92752,86.420456
1.5833334,46.96186,763.54333,7680.393,7.207768,4089.969,23.47578,0.0,2349.2625,1453.1023,636.88446,397.5494,8471.375,49.629227,62.169746,368.8954,88.64981
1.6666666,25.589428,1010.1596,6756.5396,5.3277907,3881.9116,70.44608,0.0,1357.9435,2149.3447,773.02466,371.1637,8232.158,59.66536,66.87534,346.5837,98.2564
1.75,21.661032,1058.3337,6564.3203,5.266162,5133.186,41.04231,0.0,1048.9951,2718.682,936.2458,479.88718,8835.535,80.78274,68.11914,244.1142,125.65964
1.8333334,4.7553644,1350.8595,5574.747,1.6605023,3719.8162,9.954641,0.0,559.1092,1944.1056,1291.305,295.98334,5402.29,108.69365,75.37474,136.96036,84.01943
1.9166666,5.9751325,1757.7097,6334.768,2.2134106,5439.526,0.0,10.179707,707.68774,1300.8757,1751.445,382.42953,6196.81,149.19489,95.4841,124.1278,25.305809
2.0,6.2041135,2139.757,5081.7837,3.6684408,3853.2214,0.0,17.46276,540.0688,1847.4584,2436.5054,501.89725,6948.1045,201.57176,124.29217,163.96725,27.936758
2.0833333,9.825939,2697.2554,3393.0142,5.1427374,5061.878,0.0,38.101105,285.8861,2621.1191,3047.2317,647.2826,8768.826,231.19203,159.76381,195.47543,39.551617
2.1666667,13.002423,2570.4497,3373.9253,6.767216,6680.593,0.0,53.202477,393.68066,3212.9182,3103.6917,699.0701,9453.172,254.45839,209.22833,228.18793,51.95701
2.25,15.2472,2257.7205,2318.9055,9.175786,7760.7085,0.0,71.05215,480.2421,3816.33,3520.8425,726.7675,10964.972,307.3796,254.91655,255.93752,75.99366
2.3333333,13.399974,1645.9104,2286.9854,12.012593,9434.229,0.0,96.73835,0.4421625,3041.3608,3872.5251,848.9795,12086.204,306.87073,307.06934,293.6917,81.56768
2.4166667,17.239006,1964.2924,2268.58,15.027586,12007.337,0.0,128.1609,0.6284889,2581.4465,4197.9907,760.52,13183.168,286.0524,319.8929,349.06125,105.12969
2.5,28.245468,2042.6277,2315.4563,17.563864,10899.267,0.0,174.0053,0.8692119,1307.6869,2391.6372,797.05817,12754.679,244.48996,323.716,389.21283,138.81407
2.5833333,42.01784,2435.5745,2314.3918,21.75549,7202.7114,7.4412746,231.30647,43.146866,1298.9813,2508.7783,267.1342,13456.7705,139.91692,249.38248,439.49167,161.48087
2.6666667,61.04134,2858.833,4771.5654,22.957592,5953.815,90.244675,301.6423,251.70732,1958.916,3061.745,262.88776,16671.395,0.09992183,268.16425,477.59552,185.68515
2.75,25.649609,1841.5073,5265.554,19.08388,7138.3247,61.35727,0.0,320.45364,2839.979,2933.741,194.80661,16004.506,0.13015525,206.82878,569.52057,219.67229
2.8333333,10.419098,536.1672,3489.8396,22.725348,9279.142,23.390549,0.0,356.51074,1826.5415,1824.4452,213.43037,11253.472,2.213503,89.50831,236.9471,175.6112
2.9166667,13.560686,542.0739,2686.643,27.633192,8489.47,29.27318,0.0,432.17795,1926.4993,1824.3585,271.812,9665.721,4.2594204,105.57694,295.27414,222.13431
3.0,16.21956,639.8125,3154.8076,33.58153,11142.791,39.77278,0.0,560.3563,2152.119,1600.3783,345.31647,12445.2295,13.128322,74.61697,297.97394,277.2573
3.0833333,20.326672,752.9227,3732.794,41.607437,10705.933,52.902958,10.575601,496.84644,2423.505,216.9499,455.81104,7932.2817,26.283972,101.97865,273.4475,343.16656
3.1666667,28.316502,925.80804,4084.2139,50.69251,10913.284,69.07215,18.143032,329.2302,3209.6042,349.48325,601.6765,4747.4224,44.71901,138.74335,329.66342,421.40842
3.25,38.550823,1099.5974,3974.364,61.36208,12062.688,88.71692,29.32275,172.17108,4012.5017,521.8498,769.0131,2173.581,71.9988,181.65837,400.83817,511.7041
3.3333333,47.52983,1325.6006,3996.009,66.44819,12944.41,112.30143,45.15573,207.24815,4257.283,778.8568,915.2561,1779.9485,101.16605,217.18965,450.60654,614.78644
3.4166667,43.337257,1603.2817,3715.1582,74.57883,13572.77,140.31696,33.37985,252.38445,4485.622,989.45624,1087.9276,2005.6259,137.10518,243.21645,540.7854,738.9073
