v Prey\Predator >,AtlanticHerring,AtlanticMackerel,Sandeel < 0.25 year,Sandeel>0.25 year,EuropeanSprat,NorwayPout < 0.25 year,NorwayPout  > 0.25 year,EuropeanPlaice < 0.25 year,EuropeanPlaice  > 0.25 year,CommonSole < 0.25 year,CommonSole > 0.25 year,Saithe < 0.25 year,Saithe  > 0.25 year,AtlanticCod < 0.25 year,AtlanticCod > 0.25 year,Haddock < 0.25 year,Haddock  > 0.25 year,HorseMackerel,Whiting < 0.25 year,Whiting > 0.25 year,CommonDab < 0.25 year,CommonDab > 0.25 year,GreyGurnard < 0.25 year,GreyGurnard > 0.25 year,Hake < 0.25 year,Hake > 0.25 year,Shrimp
AtlanticHerring,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.8,0.4,0.8,0,0.8,0.4,0.8,0.4,0
AtlanticMackerel,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.8,0.4,0.8,0,0.8,0.4,0.8,0.4,0
Sandeel < 0.25 year,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.8,0.4,0.8,0,0.8,0.4,0.8,0.4,0
Sandeel > 0.25 year,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
EuropeanSprat,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.8,0.4,0.8,0,0.8,0.4,0.8,0.4,0
NorwayPout < 0.25 year,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.8,0.4,0.8,0,0.8,0.4,0.8,0.4,0
NorwayPout  > 0.25 year,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.4,0,0.4,0,0.4,0.8,0.4,0.8,0.4,0.8,0.4,0.4,0.8,0.4,0,0.4,0.8,0.4,0.8,0
EuropeanPlaice < 0.25 year,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.8,0.4,0.8,0,0.8,0.4,0.8,0.4,0
EuropeanPlaice  > 0.25 year,0,0,0,0,0,0,0.4,0,0.8,0,0.8,0,0.4,0,0.4,0,0.4,0,0,0.4,0,0.8,0,0.4,0,0.4,0.8
CommonSole < 0.25 year,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.8,0.4,0.8,0,0.8,0.4,0.8,0.4,0
