"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.7053568703296377,0.5140224721801121,0.0,0.0,0.0,0.0,1.011764736429799,0.016856041672358026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.8602699994916083,0.25779931475337914,0.0,0.0,0.0,0.0,1.058947726319182,0.035154287427221084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.43077852776560815,0.1782687407214042,0.0,0.0,2.7638162282340556E-4,0.0,0.5296084961372449,0.03554031667782902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.030804634554251618,0.0,0.0,5.536604591669555E-5,0.0,0.0,0.03651808083419728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.0,0.005197668058874005,0.0,0.0,1.260997480995748E-4,0.0,0.0,0.03666167637904589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.0,0.007536575365891992,0.0,0.0,2.3307676520693005E-4,0.0,0.0,0.036664283822752344,0.0,0.0,8.722234242696127E-5,0.0,0.0,0.0,0.0,
0.8333333,1.766132579162373,0.13593768006342927,0.0,0.0,3.250343222402412E-4,0.0,1.4000051394607085,0.03573270037195009,0.0,0.0,3.1855551924058064E-4,0.0,0.0,0.0,0.0,
0.9166667,1.0103267811644583,0.40271209671720914,0.0,0.0,3.999027258385125E-4,0.0,1.1116899758878593,0.03422371620115115,0.0,0.0,4.4103721773772886E-4,0.0,0.0,0.0,0.0,
1.0,0.7138031122411086,0.4657277320786115,0.0,0.0,2.9269369467019356E-4,0.0,0.6320228725471485,0.034457913694431186,0.0,0.0,5.767890442985019E-4,0.0,0.0,0.0,0.0,
