"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.17661932051499202,0.0,0.0,0.0,0.0,0.0,0.4494386802361278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.3994869194303432,1.7841952550228077E-4,0.0,0.0,0.006795546380618232,0.0,0.5191442514338924,0.1858333319521139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.0,0.003146677532225412,0.0,0.0,0.024166154419428112,0.0,0.0,0.18583287373779528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,2.2677854812288007,0.013505998736965851,0.0,0.0,0.021485121637024034,0.0,1.6211856631221118,0.18583625788393526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.06652740029021618,0.0,0.0,0.021864689129150173,0.0,0.0,0.18585100068133598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.0,0.16425643109862023,0.0,0.0,0.023193677946101325,0.0,0.0,0.185727308710258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.529243291810352,0.42934974700172535,0.0,0.0,0.02242496406487276,0.0,0.5636460815756524,0.18415541882219155,0.0,0.0,5.907160995246503E-6,0.0,0.0,0.0,0.0,
0.8333333,0.8273490208508343,0.46819675967998486,0.3687416654400476,0.0,0.009559227407636636,0.02148216481037822,0.6770588783496835,0.18343753632598814,0.1840092083510971,0.0,5.788628325645929E-6,6.615920116348134E-6,0.0,0.0,0.0,
0.9166667,0.0,0.782640339536171,0.6184028714941808,0.0,0.023094965150443895,0.021372947538323413,0.0,0.18015981183471746,0.17906865609965497,0.0,9.861922156045161E-6,4.111569855726958E-5,0.0,0.0,0.0,
