"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.0,0.0,0.0,0.0,0.004020693644987946,0.0,0.004999999999999946,0.03900839442992281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.0,0.0,0.0,0.0,0.014032295228873396,0.0,0.0,0.03900870201064918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.0,0.0,0.0,0.0,0.013035476340612674,0.0,0.0,0.039008709919814796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.0,0.0,0.0,0.011030333341722199,0.0,0.0,0.03900839369594102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.0,0.0,0.0,0.0,0.009353058253816389,0.0,0.0,0.03900746206611291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.0,0.0,0.0,0.0,0.009457440185805882,0.0,0.004999999999999946,0.03900810841810694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8333333,0.0,0.0,0.0,0.0,0.00587472785553155,0.0,0.004999999999999946,0.03900814421439955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9166667,0.0,0.0,0.0,0.0,0.008027528111694462,0.0,0.0,0.039008135911224824,0.0,0.0,4.352337822177324E-5,0.0,0.0,0.0,0.0,
1.0,0.0,0.0,0.0,0.0,0.0074148950272645625,0.0,0.0,0.039008239111622794,0.0,0.0,1.7873889289118534E-4,0.0,0.0,0.0,0.0,
1.0833334,0.0,0.0,0.0,0.0,0.008093799570534714,0.0,0.0,0.03900842690116288,0.0,0.0,4.2743195418847626E-4,0.0,0.0,0.0,0.0,
