"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.023090253357785764,0.0,0.0,0.0,0.0,0.0,0.40618253914585345,0.05000000000000078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.0,0.01806727805470143,0.0,0.0,0.05000026049461209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.0,1.6458638496139394E-4,0.0,0.0,0.018000921485589943,0.0,0.0,0.04999928955858976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.0,5.612025933741875E-4,0.0,0.0,0.016718634953757285,0.0,0.0,0.04999963963303539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.8488877820836032,0.0048071869344289645,0.0,0.0,0.015737852127934628,0.0,1.0550292671238934,0.04998595778889371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.9335821643304154,0.08926811413672157,0.0,0.0,0.012090594685508858,0.0,1.0837265861878662,0.04976251697182428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.5557122654070656,0.09045076094981667,0.0,0.0,0.007916171616221362,0.0,0.5730848894527896,0.04961742438410974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.0,0.06110578884679098,0.0,0.0,0.012280537751506258,0.0,0.0,0.049989595452140254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8333333,0.0,0.1022728090949356,0.0,0.0,0.011329021193539325,0.0,0.0,0.05002898014039587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9166667,0.0,0.14827114797560875,0.0,0.0,0.013725974104557264,0.0,0.0,0.049971486362408085,0.0,0.0,5.973047729214076E-14,0.0,0.0,0.0,0.0,
1.0,1.235325442477437,0.13639437388547182,0.32801827783770454,0.0,0.014163726990561783,0.012673633590286119,1.1924194289459926,0.0498830318504328,0.049955109466945216,0.0,9.573989973903697E-8,0.0,0.0,0.0,0.0,
1.0833334,1.0271786552091706,0.4099677211722109,0.2888134726069318,0.0,0.011781118183640586,0.011977770785972145,1.1162467634755067,0.04910749277697925,0.04966344892668769,0.0,7.168599891640801E-7,0.0,0.0,0.0,0.0,
1.1666666,0.9245309927942297,0.46280156010937623,0.2117595054741449,0.0,0.007930150179531798,0.014169063004814637,0.7173796512119571,0.04918420839286074,0.04965822720529169,0.0,6.565124136459688E-7,0.0,0.0,0.0,0.0,
1.25,0.0,0.1478838377198526,0.2511537600938293,0.0,0.016123581893122567,0.012326428642706054,0.0,0.04981837365595769,0.04988171522475118,0.0,1.7665050735779603E-6,0.0,0.0,0.0,0.0,
1.3333334,0.0,0.2514199767858135,0.107573181923658,0.0,0.01548663244407417,0.01105247825897265,0.0,0.04997193242468834,0.05002984310795932,0.0,3.283869947281802E-6,1.952143381449694E-6,0.0,0.0,0.0,
1.4166666,0.0,0.24537327230273465,0.1958967866634825,0.0,0.013759418140345338,0.010899729076732204,0.0,0.049769368010110684,0.04991806938351353,0.0,3.9971885225723166E-6,8.294126837071952E-6,0.0,0.0,0.0,
1.5,1.0898746387513358,0.273170979575168,0.26663492868267985,0.0,0.011287955532901723,0.012003568935635426,1.138716625714492,0.04989929791070964,0.04986052300122093,0.0,5.016993651657773E-6,1.1939925532327463E-5,0.0,0.0,0.0,
1.5833334,1.1378522018105421,0.23039170211274557,0.18390121366146112,0.0,0.012083647307116595,0.009848845650366466,1.1556899984162015,0.04952812721403423,0.049889456745686234,0.0,8.253060630502364E-6,2.7832256523856495E-5,0.0,0.0,0.0,
1.6666666,0.6153379838101906,0.2589297705326622,0.3081192711199361,0.0,0.012776888497720476,0.009103746603887642,0.5947979367797172,0.04924912577124653,0.04947946291167542,0.0,1.8664211327332037E-5,4.893899466712834E-5,0.0,0.0,0.0,
