"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5833333,NaN,NaN,NaN,1.3883243,1.3999271,NaN,NaN,8.952616,NaN,3.7117064,NaN
0.6666667,NaN,NaN,NaN,1.3500265,1.5032835,NaN,NaN,8.6938715,NaN,3.708203,NaN
0.75,108.05346,NaN,0.63331,1.3448445,1.5364335,NaN,3.7267756,4.504337,45.200085,3.7059636,2.9145188
0.8333333,109.727066,3.6234503,0.66397417,1.3904406,1.5683479,2.0651789,2.4231992,4.420439,45.895306,3.7518325,2.9762273
0.9166667,109.78747,3.774101,0.70663416,1.4089125,1.5969132,2.1395466,2.5610275,4.6558666,46.72655,3.7826087,3.0282483
1.0,109.78744,4.0367484,0.98483336,1.4449153,1.7271608,2.187873,2.6286933,4.9527974,47.61362,3.80427,3.0794177
1.0833334,109.78744,4.213622,1.6979729,1.5018964,1.8321649,2.3344705,2.6330333,5.1004624,48.537884,3.8618038,3.190656
1.1666666,109.78744,4.369412,2.154567,1.5267768,1.9479681,2.3988538,2.671547,5.460914,49.304264,3.9827344,3.3661125
1.25,90.36684,4.524034,2.4042368,1.5579711,2.0733697,2.567955,2.7712774,5.318426,49.35195,4.366166,3.6115932
