"Mean Trophic Level of fish species, weighted by fish catch, and including first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7355227,NaN
0.5833333,3.7405186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8026743,NaN
0.6666667,3.6563616,NaN,NaN,NaN,NaN,NaN,NaN,3.6547625,NaN,3.7114532,NaN
0.75,3.653981,3.597797,3.971236,NaN,NaN,NaN,3.9834695,3.7278607,NaN,3.802776,3.5000181
0.8333333,3.684817,3.7334602,3.8980792,NaN,NaN,NaN,3.002881,3.7139633,NaN,3.8669612,3.5916045
0.9166667,3.6381018,3.6469355,3.744362,NaN,3.5794678,NaN,3.5046391,3.7263374,4.2160473,3.899656,3.9001987
1.0,3.68669,3.5972576,3.7848835,NaN,3.127624,3.7670918,3.6082993,3.6648283,4.021999,3.9516356,3.8552547
1.0833334,3.6677883,3.5690258,3.6322997,NaN,3.1138968,3.6763763,3.3171885,3.655138,3.9732325,3.9511583,3.8268745
1.1666666,3.636084,3.540548,3.580919,3.1823764,3.51773,3.0296082,3.1171377,3.620728,3.990362,3.9758024,3.9472702
1.25,3.6653237,3.5486376,3.575069,3.0012405,3.160211,3.3070683,3.1747878,3.6263218,4.0835924,4.0025616,3.7436736
