"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5833333,NaN,NaN,NaN,3.048557,3.0070193,NaN,NaN,3.5442448,NaN,3.1611388,NaN
0.6666667,NaN,NaN,NaN,3.0298936,3.0061626,NaN,NaN,3.6490424,NaN,3.1868348,NaN
0.75,3.6934702,NaN,3.3031192,3.0420034,3.0747902,NaN,3.0390418,3.6350238,3.918304,3.2343125,3.5624251
0.8333333,3.6856532,3.6071694,3.6842773,3.0373168,3.0219262,3.060742,3.0358508,3.6376853,3.9691744,3.4236212,3.617647
0.9166667,3.6380467,3.5632474,3.5743124,3.0177174,3.0096712,3.034633,3.0286918,3.654699,4.046007,3.527544,3.63057
1.0,3.6867511,3.5571318,3.700669,3.0201943,3.0382605,3.0356815,3.0559933,3.6227083,4.0569615,3.6518278,3.6777248
1.0833334,3.6915817,3.5419405,3.5861592,3.0534286,3.071204,3.1499233,3.078992,3.6215525,4.104304,3.7365146,3.6806936
1.1666666,3.634085,3.5228338,3.5455523,3.0488083,3.059038,3.079341,3.059556,3.5944352,3.9985,3.8150444,3.7472305
1.25,3.6447616,3.5312784,3.5421388,3.0573835,3.0593333,3.1918125,3.0839055,3.59988,4.1135745,3.8969097,3.6400435
