"Mean biomass (tons), excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5833333,0.0,0.0,0.0,2803.4805,4755.6313,0.0,0.0,5845.457,0.0,657.0087,0.0
0.6666667,0.0,0.0,0.0,12499.405,14289.677,0.0,0.0,34535.71,0.0,2953.3486,0.0
0.75,16182.223,0.0,3509.8008,20442.965,14103.677,0.0,1601.4932,58979.01,2021.9142,4878.857,6287.095
0.8333333,48238.418,28134.896,25114.451,19200.62,14008.123,2834.887,4926.8228,78340.04,8830.254,7096.317,15420.977
0.9166667,39525.78,66422.31,26732.605,14642.091,12492.393,12560.686,6145.229,92192.35,8892.647,9440.058,19214.85
1.0,31546.174,104196.586,63934.324,10154.996,14825.15,13534.059,6288.72,107499.12,8968.232,11641.192,21150.229
1.0833334,25177.79,115330.79,80581.11,7983.7446,20653.586,14237.642,5452.9785,121875.3,9059.231,14031.521,22757.598
1.1666666,20095.021,125243.85,85523.76,6447.45,22265.883,12803.273,4727.146,132879.6,9047.323,16754.758,25318.271
1.25,45381.613,135733.95,98597.734,5722.3193,19173.441,13350.772,4362.7207,140146.83,11354.384,20850.285,28250.816
1.3333334,102939.164,152170.86,141109.5,4258.765,17199.79,14652.87,4083.2263,144438.53,18840.275,24236.605,30544.979
1.4166666,85630.65,168374.73,146373.14,3215.5273,15694.81,17212.805,3588.5144,146944.72,18766.465,27808.646,30745.545
1.5,73736.055,181516.23,166009.7,2474.5234,15769.635,16462.373,3010.4866,146790.83,18545.965,30141.182,30403.555
1.5833334,62108.49,190374.52,187103.23,2051.9036,16535.1,16625.95,2687.5576,145787.92,18317.148,33203.953,29150.883
1.6666666,52195.277,193530.17,175250.67,2088.4465,14325.313,16193.059,2306.8884,142647.42,18001.285,35689.348,28162.734
1.75,66258.01,194906.97,163890.22,1905.651,12514.187,15444.855,2169.0583,139783.55,19854.7,37240.855,28830.768
1.8333334,118164.15,209304.73,165115.69,1516.5918,11322.195,14211.972,2134.646,138374.9,26614.705,39979.797,30267.238
1.9166666,82840.25,222931.83,162238.22,1385.9141,9340.713,12098.034,2051.4578,137416.66,26258.166,44367.76,30974.248
2.0,68439.39,233696.56,153021.56,1257.0184,7700.4297,10415.093,1862.9825,136808.81,25755.861,47310.75,31030.455
2.0833333,56567.76,237368.5,144000.62,1138.1807,6768.958,8098.0264,1720.5211,136825.64,25104.688,47858.457,31742.719
2.1666667,47066.156,240690.86,128236.83,1029.8539,5566.442,6672.093,1655.7603,134511.33,24504.666,48607.277,32578.84
2.25,79375.31,240450.94,116663.89,925.4582,4677.665,5793.001,1612.818,133155.58,25616.754,49264.316,34284.91
2.3333333,172872.94,249145.83,108115.83,920.6026,4099.533,5113.9077,1736.4271,131916.3,30795.34,49496.31,36535.133
2.4166667,137614.39,257235.11,101439.766,938.14557,3789.8765,5545.233,1652.0745,129600.016,29702.791,48922.406,37944.824
2.5,118959.36,266111.38,93480.67,942.14343,3801.146,5697.3447,1723.5914,127064.92,28489.582,47815.305,39049.035
2.5833333,102310.41,266420.84,86831.45,967.863,4355.325,5437.1465,1668.1403,126155.984,27369.79,47669.875,40279.58
2.6666667,89139.31,265083.44,75347.33,929.49164,4363.9204,5357.583,1681.1931,124650.36,26215.547,48198.58,41313.47
2.75,105257.77,261959.94,60255.676,950.1129,4019.323,5390.295,1804.3032,125176.09,26887.385,48109.008,42090.72
2.8333333,168387.52,263076.12,63723.16,971.91486,3912.203,5796.009,2252.5889,123317.11,31249.268,48520.617,44087.848
2.9166667,112224.57,265935.78,64513.555,997.7053,3975.4587,8256.388,2112.9697,122084.836,30048.922,48759.777,45474.117
3.0,99284.64,268599.66,60438.92,1023.5179,4270.3037,9025.496,2093.7742,120829.28,28810.172,49520.754,46259.703
3.0833333,89622.91,266956.47,58971.633,1046.5905,5347.153,8614.711,1993.9374,121430.04,27579.393,51597.895,46749.67
3.1666667,78448.49,262026.66,54696.715,1000.89935,5337.887,8282.26,1916.3315,119414.164,26482.943,51172.86,47197.32
3.25,91360.12,256963.83,50652.332,1028.5131,4839.9404,7715.221,1926.8616,120757.97,27061.854,50163.77,47900.43
3.3333333,130754.52,224662.02,65416.45,1062.8516,4883.786,7898.284,1982.255,119086.37,31071.531,48724.73,50079.9
3.4166667,77661.29,184836.0,64892.965,1056.0007,4724.7915,9693.503,1906.9989,117218.04,29741.62,48286.633,50770.25
3.5,65093.938,155638.47,76058.29,1057.9938,5094.8843,9926.469,1970.3153,114947.445,28459.463,48322.66,51352.754
3.5833333,56011.004,159931.55,84309.62,961.7772,5942.8477,9706.868,1910.5709,113839.62,27252.59,48875.79,52132.203
3.6666667,48595.164,163710.8,80708.19,1013.63983,6350.1816,9470.15,1872.5278,113103.27,26135.727,50012.39,53454.203
3.75,60564.695,165251.56,77827.71,1070.6301,5824.0264,9091.072,1916.3331,110660.664,26766.98,50598.117,55953.51
3.8333333,99651.12,164832.83,94192.77,1065.9304,5464.611,9103.809,2066.2998,109127.4,31029.133,50072.496,58400.926
3.9166667,69414.766,158733.38,95767.12,1039.6802,5161.572,11602.143,1970.134,110306.14,29968.555,54121.984,60055.617
4.0,59329.285,163849.86,102508.95,1032.0894,5206.915,11237.799,1965.4598,110731.95,28776.314,53909.92,61400.56
