"cumulative catch (number of fish caught per time step of saving). ex: if time step of saving is the year, then annual catches in fish numbers are saved"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12638.578,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32347.004,0.0
0.5833333,274389.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207632.4,0.0
0.6666667,773088.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6933842E7,0.0,555699.3,0.0
0.75,631233.56,1.8168264E8,1.1645249E7,0.0,0.0,0.0,4.957935E-4,4.9092304E7,0.0,1125742.0,150344.34
0.8333333,503052.8,8.0233536E8,6.2484408E7,0.0,0.0,0.0,463.02554,6.1657172E7,0.0,1317497.0,1502708.9
0.9166667,401082.97,1.5124169E9,9.7178656E7,0.0,0.040794183,0.0,7973.833,8.286356E7,1802.304,1525214.0,4850058.0
1.0,320090.2,1.94768486E9,1.25990136E8,0.0,56470.664,3975.429,10009.137,1.05990088E8,7042.2646,1714601.5,6055908.0
1.0833334,510777.25,2.2010025E9,1.57024336E8,0.0,104623.28,3732.6145,16243.742,1.16444232E8,16038.184,1914958.1,8362672.0
1.1666666,1337452.6,2.4024425E9,1.80578688E8,18.724262,261831.86,147474.78,22677.938,1.20438992E8,33263.53,2056984.1,7994674.0
1.25,1133929.2,2.66664064E9,1.55291232E8,1799.2983,584066.4,416913.25,23625.662,1.27547536E8,44376.363,2339713.5,7854278.5
1.3333334,865877.44,2.7356544E9,1.92436624E8,4991.8267,930810.56,844428.0,28726.746,1.2792476E8,59268.562,2622476.5,8231627.0
1.4166666,684740.6,3.32955085E9,3.72865312E8,35621.42,1307904.6,948394.94,34118.734,1.23495928E8,72486.32,4306439.5,9236772.0
1.5,604366.06,3.21565491E9,4.22255296E8,117362.36,1774711.6,1825967.4,43767.168,1.24745E8,85554.086,4526349.0,8830574.0
1.5833334,885127.75,3.09689293E9,4.35044288E8,212909.38,2232325.0,2204517.2,51100.895,1.206666E8,103568.45,4704689.5,8456836.0
1.6666666,1382317.1,2.9875113E9,4.33403936E8,414927.3,3581043.8,2217247.0,54256.54,1.1321124E8,112445.305,5990605.0,8628163.0
1.75,1478008.9,2.87441971E9,4.061E8,485584.0,3707534.5,2431997.0,56181.25,1.05507752E8,118676.89,6641750.5,8908000.0
1.8333334,1192620.0,2.75020058E9,3.586696E8,455048.6,3920837.2,2918433.5,60659.125,9.8918272E7,122252.23,6605180.5,1.011308E7
1.9166666,746342.56,3.32392243E9,4.37246496E8,454192.56,3743436.2,3299315.2,61282.97,1.00501872E8,121497.695,6933080.5,9876768.0
2.0,662399.4,3.31201331E9,3.98048448E8,456751.84,3710959.5,3443397.2,60372.918,9.806848E7,125327.484,7185901.5,9517352.0
2.0833333,859944.56,3.70184474E9,3.76173472E8,455199.94,3667432.0,3592186.8,67058.48,9.2349544E7,131856.1,7067489.0,9414260.0
2.1666667,1283055.2,3.9377687E9,3.40540352E8,531508.7,3947560.2,3688826.8,63131.918,8.6452336E7,133866.08,6728085.0,9717096.0
2.25,1469405.5,3.83383859E9,3.10507488E8,498694.66,4278994.0,3461137.8,61548.78,8.5472744E7,139061.1,6384744.5,1.0825994E7
2.3333333,1299165.6,3.84086528E9,2.7299744E8,474025.4,4106700.5,3605602.2,59814.973,8.117084E7,142639.0,1.2727973E7,1.1983074E7
2.4166667,851353.44,5.155028E9,2.5213832E8,577684.0,4533802.0,4665002.0,60675.645,7.82026E7,143408.27,1.2246924E7,1.2693441E7
2.5,665422.56,5.5002849E9,2.06176528E8,614404.56,4269720.5,4847655.0,59453.38,7.7609144E7,138554.64,1.1821401E7,1.4378669E7
2.5833333,614263.5,5.3460859E9,2.13023136E8,573006.75,4059169.5,5197658.5,58684.14,7.3991472E7,130822.45,1.1557741E7,1.3907044E7
2.6666667,843368.3,5.425345E9,1.6010496E8,621809.94,3868753.8,6510010.0,55118.59,7.6268336E7,123268.664,1.0933751E7,1.3456385E7
2.75,852078.9,5.8593239E9,1.07961248E8,581318.8,3645773.0,6310008.0,53322.484,7.3042E7,118240.58,1.0806779E7,1.4465402E7
2.8333333,822124.7,5.7125356E9,8.8151824E7,543324.5,4436929.0,6082639.0,51390.49,7.3088288E7,114508.6,1.1646999E7,1.5488472E7
2.9166667,438637.38,6.3736812E9,1.27420856E8,507787.22,4217845.5,6640320.5,51848.137,7.4741008E7,111856.71,1.3270733E7,1.514435E7
3.0,369471.38,7.0832604E9,1.44107824E8,551840.56,4055754.2,6819990.5,49945.78,7.78996E7,107278.01,1.2774271E7,1.4565939E7
3.0833333,545105.56,6.9260293E9,1.52025072E8,589602.56,6030026.0,6820970.5,56650.594,8.2154648E7,102058.05,1.2312086E7,1.5554143E7
3.1666667,933541.6,6.7262602E9,1.44734848E8,568961.75,7885477.0,6463539.5,57026.453,8.1694232E7,97717.66,1.1788244E7,1.5935082E7
3.25,1231839.1,6.586281E9,1.17871144E8,555724.8,7660734.5,6746224.0,53691.938,8.1048824E7,92791.98,1.1429405E7,1.6339565E7
3.3333333,1103251.2,5.430273E9,1.19965592E8,516994.25,7364623.5,7399341.5,54128.637,7.9466784E7,89229.96,1.0724726E7,1.6503116E7
3.4166667,609190.0,4.3175009E9,1.4194208E8,572851.75,7124986.0,7961061.5,56974.715,7.5359912E7,85023.08,1.1259421E7,1.7403592E7
