"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07654442,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22904289,0.0
0.5833333,547.59814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8187032,0.0
0.6666667,1651.0345,0.0,0.0,0.0,0.0,0.0,0.0,304.67328,0.0,6.1552873,0.0
0.75,1351.3411,105.71999,383.75772,0.0,0.0,0.0,1.1013934E-7,1072.9196,0.0,11.223972,3.9126453
0.8333333,1076.8615,414.61957,863.72656,0.0,0.0,5.736252E-4,0.0028985683,1533.3108,0.0,21.176542,36.38084
0.9166667,859.2182,1090.4178,1418.8019,0.0,0.0076540597,0.0012423281,0.017153367,2136.6643,0.66101086,34.258934,198.65729
1.0,685.87537,1564.4471,1615.4177,0.0,0.160922,2.00528,0.039921995,2867.2437,4.3052926,54.75704,241.45958
1.0833334,1002.397,1893.4218,1971.5297,0.0,0.48952067,2.7678387,0.07314284,3466.0547,16.365303,81.57047,295.7888
1.1666666,2141.936,2252.7002,2193.2283,0.009888243,4.229167,3.8906746,0.14690752,3892.4575,26.972681,114.41504,366.59778
1.25,2157.8447,2542.3052,2322.3418,0.09601994,5.779644,6.058173,0.20257396,4244.041,38.755863,150.14003,405.84158
1.3333334,2194.309,3090.7156,3009.469,0.22815768,12.281266,8.255643,0.2552267,4501.236,44.72478,189.69905,436.7566
1.4166666,1619.2328,3314.3215,3842.5105,1.5476798,19.393211,12.18365,0.27556923,4659.809,51.665585,232.93301,449.0735
1.5,1293.7412,3464.302,3880.2424,3.0012302,24.771358,12.95938,0.29923448,4721.1353,60.78829,270.2169,457.51453
1.5833334,1386.8441,3617.8896,4201.262,3.9574454,29.55571,14.933531,0.32433724,4702.5293,72.20855,301.77554,464.55283
1.6666666,2698.754,3850.0132,4118.7573,7.519442,34.035618,21.385378,0.34688342,4656.3096,81.514336,323.3425,472.6386
1.75,2767.9595,3981.4634,4042.3364,8.534755,40.557674,27.64758,0.3688087,4612.2524,87.93333,341.6739,496.1795
1.8333334,2253.9368,4286.205,3839.2832,11.952264,45.561985,33.73937,0.38504404,4536.472,94.01477,357.2253,498.9672
1.9166666,1543.9387,4670.172,4118.2725,12.989126,53.58546,41.110508,0.40600175,4487.704,100.16402,376.51886,511.6664
2.0,1335.0436,4852.3853,4060.6567,13.283526,58.37094,43.93709,0.4177596,4444.108,101.63127,385.68436,574.47845
2.0833333,1255.1921,4961.0693,4183.04,13.007245,61.215214,49.87253,0.43629095,4426.5625,102.39034,393.17404,611.19556
2.1666667,1979.5022,5022.9463,4076.465,13.951254,60.930206,53.929443,0.45679048,4427.2124,103.12033,397.63412,614.664
2.25,2250.2368,5100.3975,3775.5513,15.048448,59.44383,54.84396,0.50375926,4403.8438,105.7385,406.28738,640.3839
2.3333333,2066.6418,5233.902,3424.9978,15.734508,61.944252,57.31288,0.5239446,4327.821,112.38872,405.50366,665.3749
2.4166667,1371.9313,5472.9697,3187.6687,19.772625,71.18506,69.38689,0.56030446,4265.1284,115.812904,407.12192,685.4048
2.5,1221.334,5661.9727,2744.371,21.513268,75.04558,72.76517,0.5944664,4244.7515,115.0669,403.52765,705.9225
2.5833333,1196.5771,5941.919,2523.3784,21.87172,82.41149,77.213234,0.6363797,4216.6016,113.16867,399.9777,730.73926
2.6666667,1940.4036,5934.5264,2326.3013,21.740946,86.97978,92.52602,0.655275,4233.5347,111.17269,394.6443,754.1006
2.75,2231.8765,5844.5864,1855.4597,21.620182,92.99954,104.85434,0.7151169,4212.8735,108.50015,391.4364,758.6305
2.8333333,1778.4614,5833.0083,1889.1682,23.261295,100.99188,107.49637,0.7397996,4179.7026,104.68395,382.13022,782.7664
2.9166667,1002.40967,6050.0996,2141.9175,23.455112,102.56076,105.76556,0.7398428,4161.758,101.96008,377.11176,812.2609
3.0,913.6285,6137.231,2124.6692,22.902987,104.77479,105.98644,0.7357211,4197.701,100.08339,369.05722,874.56824
3.0833333,1045.796,6061.386,2455.07,27.410652,105.00024,113.039024,0.7552586,4139.6094,97.516685,372.81274,922.3338
3.1666667,1533.618,5994.3325,2437.9175,29.807322,101.57724,112.00156,0.7509885,4073.6438,94.21275,373.8878,947.55206
3.25,1616.2122,5993.22,2237.466,29.465958,98.14305,109.11362,0.75362134,3995.8606,91.58023,364.77908,972.67847
3.3333333,1470.8114,5064.157,2446.4873,28.853308,95.56164,106.53506,0.7481497,3888.1226,90.40453,354.2514,1005.0461
3.4166667,744.0508,4269.78,2800.305,29.21034,98.92407,107.02963,0.7580967,3874.1396,87.28127,345.81357,1061.0836
3.5,696.6899,3545.4065,2977.0547,29.476974,100.222435,105.7365,0.78156215,3797.3733,84.60948,349.7776,1076.7428
3.5833333,825.44,3806.2776,3114.4995,29.686665,101.834236,110.1533,0.7812569,3777.2957,82.9776,347.8964,1097.1254
3.6666667,1368.4377,3835.6675,3418.1277,29.80574,102.97358,124.83395,0.7906879,3762.21,80.25101,350.74484,1126.421
3.75,1699.628,3907.686,3148.97,29.280773,102.144135,125.446434,0.7948397,3635.7217,79.56171,353.93466,1154.708
3.8333333,1492.2462,3942.394,3144.5056,28.552567,101.46837,126.23956,0.78018147,3591.7036,77.63723,348.54855,1166.0654
