Variable ;Osmose version;  Description ; Type ; Units
abundance ;; Number of fish in the school at the beginning of the time-step ; float ;
biomass ;; Biomass of the school at the beginning of the school ;float; Tons
instantaneousAbundance ;; Instanteanous number of fish in the school; float;
instantaneousBiomass ;; Instanteanous biomass of the school at the beginning of the school ;float; Tons
discardedBiomass ;; Biomass of the school that has been discarded by each fishing gear  ;float[]; Tons
fishedBiomass ;; Biomass of the school that has been landed by each fishing gear ; float[]; Tons
nDead ;; Number of dead fish in the current time \nstep for each mortality cause (predation, fishing, natural mortality, starvation) ; float[];
predSuccessRate ;; Predation success rate ; float;%
preyedBiomass ;; Biomass of prey ingested by the school at current time step  ;float; Tons
preys ;; List of preys eaten by the school ;HashMap<Integer, Prey>;
uuid ;; Unique identifier of the individual ;UUID;
lat ;; Latitude of the individual ;float; Degrees north
lon ;; Longitude of the individual ;float; Degrees east
x ;; i-index of the individual in the 2D grid ;int;
y ;; j-index of the individual in the 2D grid ;int;
ageDt ;; Age of the school ;int;Time-step
eggRetained ;; Buffer variable that will temporarily retain some eggs inside a time step ;float;
length ;; Length of the individuals in the school  ;float; cm
lengthi ;; Length of the individuals in the school at the beginning of the time-step  ;float; cm
out ;; True if the school is out of the computation domain ;boolean;
starvationRate ;; Starvation rate of the school ;float;
trophicLevel ;; Trophic level of the school ;float;
weight ;; Weight of the school ;float; tons
species ;; School species ;``Species``;
abundanceHasChanged ;;True if abundance has changed in the current time-step; boolean ;
accessibility ;;Array of accessibility of the school to its preys; float[] ;
ageDeath ;;Age at which a school individuals die times the abundance; float[]; :math:`N\times years`
;;;;
e_gross;BIOEN;Mobilized energy rate of individuals of school  at time step ;float;g / timestep
e_maint;BIOEN;Maintenance cost rate of individuals of school  at time step ;float;g / timestep
e_net;BIOEN;Net energy available for new tissue production;float;g / timestep
ingestion;BIOEN;Ingestion rate of individuals in school  at time step ;float;g / timestep
ingestionTot;BIOEN;Sum of all the food ingested during life of the school;float;g
kappa;BIOEN;Proportion of new tissues allocated to the gonadic compartment;float;
e_net_faced;BIOEN;Mean net energy faced during lifespan of the school;float;g
;;;;
;;;;
;;;;
;;;;
;;;;
mort_starv_rate;BIOEN;;float;
mort_oxy_rate;BIOEN;;float;
