,dogfish,redMullet,pouting,whiting,poorCod,cod,dragonet,sole,plaice,horseMackerel,mackerel,herring,sardine,squids
fis0,100,20,20,0,0,0,0,0,0,0,0,0,0,0
fis1,0,100,0,0,0,0,0,0,0,0,0,0,0,0
fis2,0,0,100,0,0,0,0,0,0,0,0,0,0,0
fis3,0,0,0,100,0,0,0,0,0,0,0,0,0,0
fis4,0,0,0,0,100,0,0,0,0,0,0,0,0,0
fis5,0,0,0,0,0,100,0,0,0,0,0,0,0,0
fis6,0,0,0,0,0,0,100,0,0,0,0,0,0,0
fis7,0,0,0,0,0,0,0,100,10,10,0,0,0,0
fis8,0,0,0,0,0,0,0,0,100,0,0,0,0,0
fis9,0,0,0,0,0,0,0,0,0,100,0,0,0,0
fis10,0,0,0,0,0,0,0,0,0,0,100,0,0,0
fis11,0,0,0,0,0,0,0,0,0,0,0,100,0,0
fis12,0,0,0,0,0,0,0,0,0,0,0,0,100,0
fis13,0,0,0,0,0,0,0,0,0,0,0,0,0,100
fis14,0,0,0,0,0,0,0,0,0,0,0,0,30,100
fis15,0,0,0,0,0,0,0,0,0,0,0,0,30,100
