variable,type,calibrate,weights,useData
TrachurusTrachurus.biomass,lnorm2,TRUE,12.5,TRUE
SardinaPilchardus.biomass,lnorm2,TRUE,12.5,TRUE
SardinellaAurita.biomass,lnorm2,TRUE,12.5,TRUE
EngraulisEncrasicolus.biomass,lnorm2,TRUE,12.5,TRUE
OctopusVulgaris.landings,lnorm2,TRUE,22.22,TRUE
MelicertusKerathurus.landings,lnorm2,TRUE,22.22,TRUE
MetapenaeusMonoceros.landings,lnorm2,TRUE,22.22,TRUE
TrachurusTrachurus.landings,lnorm2,TRUE,22.22,TRUE
SardinaPilchardus.landings,lnorm2,TRUE,22.22,TRUE
SardinellaAurita.landings,lnorm2,TRUE,22.22,TRUE
EngraulisEncrasicolus.landings,lnorm2,TRUE,22.22,TRUE
DiplodusAnnularis.landings,lnorm2,TRUE,22.22,TRUE
MustelusMustelus.landings,lnorm2,TRUE,22.22,TRUE
MerlucciusMerluccius.landings,lnorm2,TRUE,22.22,TRUE
PagellusErythrinus.landings,lnorm2,TRUE,22.22,TRUE
OctopusVulgaris.thr,minmaxt,TRUE,1,TRUE
MelicertusKerathurus.thr,minmaxt,TRUE,1,TRUE
MetapenaeusMonoceros.thr,minmaxt,TRUE,1,TRUE
TrachurusTrachurus.thr,minmaxt,TRUE,1,TRUE
SardinaPilchardus.thr,minmaxt,TRUE,1,TRUE
SardinellaAurita.thr,minmaxt,TRUE,1,TRUE
EngraulisEncrasicolus.thr,minmaxt,TRUE,1,TRUE
DiplodusAnnularis.thr,minmaxt,TRUE,1,TRUE
MustelusMustelus.thr,minmaxt,TRUE,1,TRUE
MerlucciusMerluccius.thr,minmaxt,TRUE,1,TRUE
PagellusErythrinus.thr,minmaxt,TRUE,1,TRUE
