v Prey / Predator >;lesser-spotted-dogfish < 0.45 year;lesser-spotted-dogfish > 0.45 year;red-mullet < 0.25 year;red-mullet > 0.25 year;pouting < 0.25 year;pouting > 0.25 year;whiting < 0.25 year;whiting > 0.25 year;poor-cod < 0.25 year;poor-cod > 0.25 year;cod < 0.4 year;cod > 0.4 year;dragonet < 0.25 year;dragonet > 0.25 year;sole < 0.15 year;sole > 0.15 year;plaice < 0.25 year;plaice > 0.25 year;horse-mackerel;mackerel;herring;sardine;squids < 0.125 year;squids > 0.125 year
lesser-spotted-dogfish < 0.45 year;0.05;0;0;0.05;0;0;0;0;0;0;0;0;0;0.05;0;0.05;0;0.05;0;0;0;0;0.05;0
lesser-spotted-dogfish > 0.45 year;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4
red-mullet < 0.25 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
red-mullet > 0.25 year;0.8;0.4;0;0.8;0;0.4;0;0.4;0;0.4;0;0.4;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0
pouting < 0.25 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
pouting > 0.25 year;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4
whiting < 0.25 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
whiting > 0.25 year;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4
poor-cod < 0.25 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
poor-cod > 0.25 year;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4
cod < 0.4 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
cod > 0.4 year;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4
dragonet < 0.25 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
dragonet > 0.25 year;0.8;0.4;0;0.8;0;0.4;0;0.4;0;0.4;0;0.4;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0
sole < 0.15 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
sole > 0.15 year;0.8;0.4;0;0.8;0;0.4;0;0.4;0;0.4;0;0.4;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0
plaice < 0.25 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
plaice > 0.25 year;0.8;0.4;0;0.8;0;0.4;0;0.4;0;0.4;0;0.4;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0
horse-mackerel;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
mackerel;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
herring;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
sardine;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
squids < 0.125 year;0.05;0;0;0.05;0;0;0;0;0;0;0;0;0;0.05;0;0.05;0;0.05;0;0;0;0;0.05;0
squids > 0.125 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8
Dinoflagellates;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1
Diatoms;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1
Microzoo;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1
Mesozoo;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1
Macrozoo;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1
OmniCrust;1;0.5;0;1;0;0.5;0;0.5;0;0.5;0;0.5;0;1;0;1;0;1;0;0;0;0;1;0
OmniOphiu;1;0.5;0;1;0;0.5;0;0.5;0;0.5;0;0.5;0;1;0;1;0;1;0;0;0;0;1;0
DeposiCrust;1;0.5;0;1;0;0.5;0;0.5;0;0.5;0;0.5;0;1;0;1;0;1;0;0;0;0;1;0
DeposiUrchin;1;0.5;0;1;0;0.5;0;0.5;0;0.5;0;0.5;0;1;0;1;0;1;0;0;0;0;1;0
BigDeposiv;1;0.5;0;1;0;0.5;0;0.5;0;0.5;0;0.5;0;1;0;1;0;1;0;0;0;0;1;0
