"Time (year)";"Trachurus trachurus "
"0";"0.153846154"
"0.041666668";"0.153846154"
"0.083333336";"0.230769231"
"0.125";"0.230769231"
"0.16666667";"0.153846154"
"0.20833333";"0"
"0.25";"0"
"0.29166666";"0"
"0.33333334";"0"
"0.375";"0"
"0.41666666";"0"
"0.45833334";"0.076923077"
"0.5";"0.153846154"
"0.5416667";"0.153846154"
"0.5833333";"0.230769231"
"0.625";"0.230769231"
"0.6666667";"0.153846154"
"0.7083333";"0"
"0.75";"0"
"0.7916667";"0"
"0.8333333";"0"
"0.875";"0"
"0.9166667";"0"
"0.9583333";"0.076923077"
