"Time (year)";"diplodus annularis"
"0";"0.016949153"
"0.041666668";"0.027118644"
"0.083333336";"0.033898305"
"0.125";"0.186440678"
"0.16666667";"0.237288136"
"0.20833333";"0.101694915"
"0.25";"0.006779661"
"0.29166666";"0.016949153"
"0.33333334";"0.016949153"
"0.375";"0.020338983"
"0.41666666";"0.030508475"
"0.45833334";"0.305084746"
"0.5";"0.016949153"
"0.5416667";"0.027118644"
"0.5833333";"0.033898305"
"0.625";"0.186440678"
"0.6666667";"0.237288136"
"0.7083333";"0.101694915"
"0.75";"0.006779661"
"0.7916667";"0.016949153"
"0.8333333";"0.016949153"
"0.875";"0.020338983"
"0.9166667";"0.030508475"
"0.9583333";"0.305084746"
