"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.12626201620158026,0.0,0.0,0.0,0.0,0.0,0.8342051021854657,0.03333333333333276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.43177679937702007,0.0,0.0,0.0,0.009264688148151514,0.0,0.9227624226125857,0.03333318848934086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.879542371046498,0.03903187618574429,0.0,0.0,0.01322541991493097,0.0,1.0656135340500117,0.03332948367236174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.9251575908211446,0.05221648007017511,0.06413240065227792,0.0,0.01372795660703019,0.019176567992483816,1.0811020036376888,0.03332661941669279,0.033339883727478786,0.0,3.096046921224716E-7,0.0,0.0,0.0,0.0,
0.5,0.9629247634426439,0.0574869586066048,0.0930713925870311,0.0,0.012599647313704025,0.019764626087909038,1.0938954985392964,0.03332154007758342,0.03332976342673137,0.0,6.148744539035196E-7,4.6990066119039364E-7,0.0,0.0,0.0,
0.5833333,0.9368172822561402,0.07115980648839054,0.12485147962244346,0.0,0.011773616002356688,0.018796488683163717,1.0849543361012972,0.03326611317361178,0.033308660739505974,0.0,3.403750401123637E-6,3.1841682101297214E-6,0.0,0.0,0.0,
0.6666667,0.9276494065391501,0.08096326851833158,0.059839183561017625,0.0,0.011075400054187196,0.018480779144078325,1.0820514595826303,0.03310478131362647,0.03333412605439766,0.0,7.561743328084573E-6,1.0782309306809936E-5,0.0,0.0,0.0,
0.75,1.373674492744117,0.10846536755233924,0.05223493047908562,0.0,0.011836327809720316,0.018701273664573588,1.2531279088955651,0.033046727840811044,0.03332957384879371,0.0,5.4233074071351844E-6,2.261070679867886E-5,0.0,0.0,0.0,
0.8333333,1.5569381435041172,0.21819880858241186,0.13972304669072078,0.0,0.01394950832172543,0.01866754423828561,1.3223444351945512,0.03236965004652299,0.03332582750139636,0.0,2.369398995657619E-6,2.8145669155038863E-5,0.0,0.0,0.0,
0.9166667,1.3201451350188762,0.13069092771846905,0.1195621408137121,0.0,0.016316851399755476,0.01912982912595057,1.2261596717344228,0.033183990902574366,0.033314290180134,0.0,1.2537736440011741E-5,3.6255677013142634E-5,0.0,0.0,0.0,
1.0,1.3494371699878123,0.25988696029403274,0.2623093816523042,0.0,0.013538001196644896,0.01920175920069904,1.2359567817763621,0.03258635243459053,0.03317341540196035,0.0,1.856777639903467E-5,4.4342680102310396E-5,0.0,0.0,0.0,
1.0833334,1.6117634846982503,0.7285013878017303,0.31910110690471083,0.0,0.0021204723603966947,0.018343828030439345,1.3367440107938175,0.031042280927165388,0.033102575706654355,0.0,4.296489388752859E-6,6.228317209270082E-5,0.0,0.0,0.0,
1.1666666,1.064622768359296,1.1101156763241518,0.44821215511186807,0.0,0.004055538228807468,0.01655224888701069,1.1308386725365156,0.02869902084970061,0.03282220704350164,0.0,5.756420081451771E-6,1.2052655860091962E-4,0.0,0.0,0.0,
1.25,1.2424546221568895,1.1805964756653031,0.5498147499139497,0.0,0.003923540575489019,0.015578955245920695,1.195492625877156,0.02962066425174196,0.03256730754453388,0.0,3.1957684222274097E-6,2.2336772606165582E-4,0.0,0.0,0.0,
1.3333334,1.4292460326130223,0.8347937138330861,0.5390631064237166,0.0,0.006251752010767505,0.01450913771305348,1.2683298603717563,0.030181151199206155,0.03249618326327133,0.0,1.6665989573304726E-6,4.395598347417905E-4,0.0,0.0,0.0,
1.4166666,1.0719336183600365,0.8977610827318508,0.37856338319450317,0.0,0.0071860968063380964,0.014772167282402174,1.1323839324496239,0.030551754604062297,0.03254564831588991,0.0,2.9812235933168156E-6,8.38709233313446E-4,0.0,0.0,0.0,
1.5,0.9411716875979093,1.0485703542103788,0.4141703773894038,0.0,0.004514904646156382,0.017258177719475548,1.0885140303966785,0.03057438638622334,0.03296137081912548,0.0,2.638861460682863E-6,9.551933796727074E-4,0.0,0.0,0.0,
1.5833334,0.9083909237976252,0.7819017196643976,0.5973833072553881,0.0,0.004997510434489524,0.017580986136458934,1.0766318931873484,0.03176886896916857,0.03267856431543885,0.0,2.2757955845568918E-7,0.001020534185789164,0.0,0.0,0.0,
1.6666666,0.7599628239212084,1.0836638217540102,0.37520810223035905,0.0,0.00709943250079433,0.016983027218986917,1.0255103106036896,0.030519293507967837,0.032759130215750956,0.0,2.6910041217380037E-7,0.0013746638727523948,0.0,0.0,0.0,
1.75,1.186075665122831,1.073847718054271,0.50943614270653,0.0,0.007341314103226657,0.01877953006729067,1.1736367351768726,0.031019539067175944,0.032810993861308396,0.0,2.5507935791586017E-7,8.110462106495746E-4,0.0,0.0,0.0,
1.8333334,0.5102144005931939,1.5064827109145864,0.4639529085713975,0.0,0.0059581203879209,0.019465657542216137,0.9462331883112206,0.029664147808665678,0.033011285753739225,0.0,3.4429301036216205E-7,7.595386464360785E-4,0.0,0.0,0.0,
1.9166666,0.8454421720404222,1.4248627426899403,0.5580623206402076,0.0,0.005895725782321779,0.018004737326621775,1.0538102610401021,0.029969427527009963,0.0324157062803742,0.0,6.199869814607441E-7,5.853535509414576E-4,0.0,0.0,0.0,
