"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.0,0.0,0.0,0.0,0.004020901385625173,0.0,0.004999999999999946,0.03900819857697649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.0,0.0,0.0,0.0,0.014032038060994324,0.0,0.0,0.03900905604148498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.0,0.0,0.0,0.0,0.0130389047165121,0.0,0.0,0.03900810158167506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.0,0.0,0.0,0.011031181095910572,0.0,0.0,0.03900829938579214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.0,0.0,0.0,0.0,0.009302959117593747,0.0,0.0,0.039008429500566946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.0,0.0,0.0,0.0,0.008316049039023358,0.0,0.004999999999999946,0.03900842918643232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8333333,0.0,0.0,0.0,0.0,0.005620638222143266,0.0,0.004999999999999946,0.03900820778976967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9166667,0.0,0.0,0.0,0.0,0.0070278117824957975,0.0,0.0,0.0390085813806096,0.0,0.0,4.6567479199813216E-5,0.0,0.0,0.0,0.0,
1.0,0.0,0.0,0.0,0.0,0.008283878959698655,0.0,0.0,0.03900814042712469,0.0,0.0,2.4627948000388995E-4,0.0,0.0,0.0,0.0,
1.0833334,0.0,0.0,0.0,0.0,0.007785307735335233,0.0,0.0,0.03900844103872628,0.0,0.0,4.5423736184499697E-4,0.0,0.0,0.0,0.0,
