"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.023094430935238202,0.0,0.0,0.0,0.0,0.0,0.4061836652241183,0.05000000000000077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.0,0.018067167009481334,0.0,0.0,0.050000534643277465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.0,1.6483559219968393E-4,0.0,0.0,0.01803882494903544,0.0,0.0,0.04999955324432241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.0,5.621549373422869E-4,0.0,0.0,0.016734363716077852,0.0,0.0,0.050000272970869404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.8588472783639315,0.004798329817138106,0.0,0.0,0.01580959822364887,0.0,1.058420914143782,0.04999228458025147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.9336567743271746,0.08884322080362507,0.0,0.0,0.01211424617357119,0.0,1.0837521150124791,0.049798400846979854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.5564851341936565,0.17093215600366937,0.0,0.0,0.008464760739189852,0.0,0.5733623397582487,0.04968660702728536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.0,0.05673034862327133,0.0,0.0,0.011365013283215325,0.0,0.0,0.05001358171872147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8333333,0.0,0.05581158027507173,0.0,0.0,0.01167998855732685,0.0,0.0,0.04999519938351509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9166667,0.0,0.15537544226545327,0.0,0.0,0.013605918808107145,0.0,0.0,0.05000611269544109,0.0,0.0,6.135989217520919E-14,0.0,0.0,0.0,0.0,
1.0,1.4357365759288414,0.19712126801763769,0.2179833230023518,0.0,0.014538004188181013,0.014433378483039208,1.2674969381418537,0.0497547477115271,0.05000681358646124,0.0,2.2911045478073883E-7,0.0,0.0,0.0,0.0,
1.0833334,1.3920889364975793,0.34144362884411616,0.17378096086029693,0.0,0.010939969053705458,0.014165165454358288,1.250936718032326,0.048698395843033294,0.04996713159988199,0.0,3.855622313156366E-7,0.0,0.0,0.0,0.0,
1.1666666,0.7447273175556846,0.1495271778082891,0.36233465426495587,0.0,0.01274224054238593,0.013864755021447414,0.6440651710345668,0.04989587105773492,0.04977456269531742,0.0,1.0330096557300845E-6,0.0,0.0,0.0,0.0,
1.25,0.0,0.21524619994450966,0.28253786110060675,0.0,0.015346426916042722,0.013357717515397102,0.0,0.04992337330521991,0.04983135854179555,0.0,2.885433842496608E-6,0.0,0.0,0.0,0.0,
1.3333334,0.0,0.18456567023897097,0.2948945606248279,0.0,0.013983009764464144,0.012360429904801112,0.0,0.049971490951927405,0.04998847746521942,0.0,4.751076226564571E-6,2.385918851168902E-6,0.0,0.0,0.0,
1.4166666,0.0,0.39509138412616707,0.31278015360543077,0.0,0.011808752946208865,0.010520324940698171,0.0,0.05001280410609445,0.04967933184038139,0.0,6.682111850567482E-6,9.351840880152305E-6,0.0,0.0,0.0,
1.5,0.9199970300445619,0.17629801411165003,0.22538530117271025,0.0,0.004755989177455265,0.007975032291138018,1.0798277278440476,0.04996874685327245,0.04992252014864732,0.0,1.4658074215725719E-5,1.4918267292372059E-5,0.0,0.0,0.0,
1.5833334,1.1958077203733954,0.4584589970965905,0.18888951231256215,0.0,0.00788411207426379,0.007285360520517993,1.1768108349786774,0.04838098622398901,0.04989867631377787,0.0,1.0280630805764856E-5,2.7729534327784318E-5,0.0,0.0,0.0,
