"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.251825229381304,0.0,0.0,0.0,0.0,0.0,0.4720267535025705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.6030011284865127,0.15187082112468703,0.0,0.0,0.0,0.0,0.975042081964179,0.041598566918782255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.0,0.025807776697141717,0.0,0.0,0.004085470561995213,0.0,0.0,0.04161710820034825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.0012068593354739887,0.0,0.0,0.007372649025988628,0.0,0.0,0.041665624810096544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.0,0.0018528220981725815,0.0,0.0,0.00965769601091645,0.0,0.0,0.04166523488786499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.0,0.007272211039262099,0.0,0.0,0.009198312966404866,0.0,0.0,0.041668229040370756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8333333,0.6851790889777379,0.015241190805075373,0.0,0.0,0.00879070762013608,0.0,0.6210258203002761,0.04166962231532348,0.0,0.0,2.4359110872894064E-10,0.0,0.0,0.0,0.0,
0.9166667,1.498822943229036,0.1942688199552629,0.0,0.0,0.010538661024375366,0.0,1.2978485851642372,0.04080588405513474,0.0,0.0,3.890781645010973E-10,0.0,0.0,0.0,0.0,
1.0,0.0,0.16310127887755782,0.0,0.0,0.012107790180861111,0.0,0.0,0.04120445807501881,0.0,0.0,9.172159940514662E-7,0.0,0.0,0.0,0.0,
