"Mean size of fish species in cm, weighted by fish numbers in the catches, and including first ages specified in input."
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.545596,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.962347,NaN
0.5833333,108.06868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.394027,NaN
0.6666667,109.73495,NaN,NaN,NaN,NaN,NaN,NaN,10.125766,NaN,12.12516,NaN
0.75,109.79267,9.6252,10.595792,NaN,NaN,NaN,9.956898,10.528398,NaN,12.487295,12.180241
0.8333333,109.78898,9.98993,9.924728,NaN,NaN,NaN,9.643281,10.969398,NaN,14.026166,12.710889
0.9166667,109.78862,10.0014715,10.0518265,NaN,10.066107,NaN,10.21756,11.075628,51.572403,15.452286,13.36611
1.0,109.78766,10.170037,10.091465,NaN,9.729244,13.506945,10.682549,11.1860285,51.167953,16.535688,14.150208
1.0833334,106.86685,10.3829565,10.215214,NaN,10.479427,14.57763,10.316645,11.490061,51.22637,17.77017,14.113698
1.1666666,103.844475,10.437471,10.498041,12.612748,10.472965,11.622972,10.190001,11.691861,51.436157,18.710653,15.189087
1.25,104.90493,10.435277,11.336324,12.353905,10.405749,11.620987,10.465955,11.809618,51.797398,19.044931,15.911712
1.3333334,105.175545,10.810567,11.301449,12.835018,11.004511,11.75592,10.759439,11.990959,51.950893,19.012598,16.02268
