"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5833333,NaN,NaN,NaN,1.4152873,1.3499482,NaN,NaN,8.857524,NaN,3.709251,NaN
0.6666667,NaN,NaN,NaN,1.4069089,1.4692156,NaN,NaN,9.295882,NaN,3.7262573,NaN
0.75,106.86661,NaN,0.6997775,1.4331329,1.4997448,NaN,5.204309,6.9125824,45.932594,3.7720668,6.908343
0.8333333,109.08418,6.211321,0.7397197,1.4732182,1.5224456,2.5819483,2.8738203,7.0496616,46.82705,3.7763007,7.0169735
0.9166667,109.164154,6.908666,0.86795634,1.4992423,1.541327,2.633975,3.110414,7.5251713,47.786263,3.8079946,7.395159
1.0,109.16383,7.2207475,1.422774,1.5306036,1.6487985,2.6950164,3.2269804,7.9795766,48.701103,3.8356578,7.6815777
1.0833334,109.16383,7.4908986,1.8356814,1.6167173,1.7547948,2.7843878,3.2498171,8.051833,49.5607,3.9546762,8.061778
1.1666666,109.16383,7.7154303,2.4551222,1.6799676,1.9212554,2.830523,3.249903,8.463685,50.39395,4.1394467,8.517176
1.25,79.28355,7.9796424,3.0792196,1.8788124,2.1414106,2.89388,3.2759042,8.382232,50.163364,4.3228827,8.801092
1.3333334,81.23073,8.196911,3.07343,2.0241835,2.395433,3.0106862,3.36669,6.783457,49.274544,4.7774925,8.95776
1.4166666,83.48022,8.406983,4.1016765,2.2345045,2.6600947,3.1489758,3.4870014,6.2607603,49.947258,5.1907163,9.182792
