"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","OctopusVulgaris < 90.0","OctopusVulgaris >=90.0","MelicertusKerathurus < 8.0","MelicertusKerathurus >=8.0","MetapenaeusMonoceros < 8.0","MetapenaeusMonoceros >=8.0","TrachurusTrachurus < 11.0","TrachurusTrachurus >=11.0","SardinaPilchardus < 9.0","SardinaPilchardus >=9.0","SardinellaAurita < 11.0","SardinellaAurita >=11.0","EngraulisEncrasicolus < 9.0","EngraulisEncrasicolus >=9.0","DiplodusAnnularis < 9.0","DiplodusAnnularis >=9.0","MustelusMustelus < 50.0","MustelusMustelus >=50.0","MerlucciusMerluccius < 11.0","MerlucciusMerluccius >=11.0","PagellusErythrinus < 9.0","PagellusErythrinus >=9.0","CILC","COPC","HNFC","PHYSN","PHYLN","Benthos"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,5210.115,0.0,10213.046,0.0,0.0,0.0,0.0,0.0,8.643977,0.0,0.0,0.0,1858.2793,0.0,0.0,0.0,3083.287,10863.439,24242.361,3503.2754,1.8993933,1000000.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,22753.168,0.0,25829.275,0.0,0.0,0.0,1.3702048,0.0,209.65857,0.0,0.0,0.0,8330.708,0.0,12.752479,0.0,2687.463,11703.4,23371.43,3272.2014,1.1818094,1000000.0
0.33333334,182.57494,0.0,9.424554,0.0,19227.4,0.0,37384.812,0.0,28624.678,0.0,0.0,0.0,126.92577,0.0,1521.3517,0.0,6375.7783,0.0,13112.74,0.0,901.2167,0.0,2874.2244,13095.865,23183.678,3212.1252,3.0419776,1000000.0
0.41666666,4806.0093,0.0,847.3147,0.0,25816.793,0.0,41469.51,0.0,27841.447,0.0,1377.5352,0.0,2041.4292,0.0,6484.033,0.0,8561.566,0.0,17014.637,0.0,6477.256,0.0,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
0.5,26185.96,0.0,8176.92,0.0,29812.834,0.0,41224.293,0.0,26700.727,0.0,10729.869,0.0,6604.043,0.0,18904.256,0.0,8617.163,0.0,19600.463,141.3163,20393.055,0.0,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
0.5833333,43531.89,32807.164,31544.469,0.0,44474.535,0.0,40380.91,0.0,27266.885,0.0,18787.465,0.0,9959.174,0.0,37721.59,0.0,8843.787,0.0,21646.723,365.30167,35048.375,0.0,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
0.6666667,1476.6582,123835.81,65421.82,0.0,55214.438,0.0,42403.715,0.0,39152.848,0.0,21657.268,0.0,14363.791,0.0,52241.367,4444.3447,8960.898,0.0,23895.242,616.62897,43468.863,59.76606,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
0.75,0.0,113062.46,93545.78,2394.5942,58843.55,4923.2593,42827.85,0.0,45231.84,0.0,21966.318,0.0,16025.865,7.2199255E-5,47906.168,28349.912,9139.62,0.0,24168.629,1058.5718,46999.082,1231.6505,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
0.8333333,1302.1597,90977.43,97398.23,22117.084,74307.11,14231.946,41808.832,0.0,46377.855,0.0,22794.846,31.158945,16439.32,0.0016664197,50725.13,45723.59,15841.787,0.0,24213.85,1856.8439,45912.445,6217.54,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
