"Mean Trophic Level of fish species, weighted by fish catch, and including first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN
0.5833333,3.7090456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7272096,NaN
0.6666667,3.6408544,NaN,NaN,NaN,NaN,NaN,NaN,3.705977,NaN,3.749781,NaN
0.75,3.6874716,3.70789,3.6745715,NaN,NaN,NaN,3.4991739,3.68537,NaN,3.781072,3.9859617
0.8333333,3.6477954,3.6163225,3.9246888,NaN,NaN,3.0,3.0000553,3.71861,NaN,3.8328779,3.695758
0.9166667,3.641149,3.629289,3.6933038,NaN,3.0,3.1560464,3.8344243,3.7208364,3.5006714,3.8947713,3.7854004
1.0,3.6132948,3.6044488,3.619884,NaN,3.0000246,3.0001276,3.0809853,3.677829,4.3393707,3.9189112,3.7335846
1.0833334,3.612824,3.5496182,3.565051,NaN,3.0098422,3.9915462,3.28619,3.65942,4.21308,3.984711,3.7248385
1.1666666,3.6207333,3.574602,3.5472083,3.426217,3.2646947,3.000001,3.1118836,3.6085477,4.0457115,3.978967,3.837468
1.25,3.6695118,3.53842,3.5122359,3.0057046,3.3541465,3.7329795,3.2456567,3.609478,3.9281874,3.9614608,3.8843806
