"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5833333,NaN,NaN,NaN,3.0502362,3.0088131,NaN,NaN,3.6141896,NaN,3.16231,NaN
0.6666667,NaN,NaN,NaN,3.0417566,3.0119884,NaN,NaN,3.653256,NaN,3.1864288,NaN
0.75,3.5263097,NaN,3.1878805,3.0360248,3.0393033,NaN,3.0248098,3.606768,3.9900265,3.2364693,3.4664462
0.8333333,3.6478758,3.6354375,3.745694,3.0306132,3.050869,3.0141525,3.0726752,3.6341,4.0538654,3.3703308,3.6108465
0.9166667,3.6410956,3.5757039,3.6003618,3.0164337,3.0165095,3.0296626,3.0263395,3.6511521,4.0758414,3.4739969,3.6032586
1.0,3.6133316,3.5653708,3.6274939,3.0184426,3.0667233,3.0584433,3.0220566,3.6245952,4.0678535,3.611818,3.5953138
1.0833334,3.6542685,3.5291357,3.5573077,3.0617087,3.1202548,3.1770105,3.0650883,3.62511,4.082138,3.7762964,3.6341462
1.1666666,3.5995781,3.5448298,3.5299957,3.0571148,3.0847778,3.060543,3.05466,3.5842314,4.0890794,3.8223603,3.6778069
