"Mean abundance (number of fish), excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5833333,0.0,0.0,0.0,9.4078329E10,2.61744951E11,0.0,0.0,4.73497888E8,0.0,3.00783181E9,0.0
0.6666667,0.0,0.0,0.0,4.4864186E11,5.48940153E11,0.0,0.0,3.1046807E9,0.0,1.3505364E10,0.0
0.75,7896073.0,0.0,2.03494824E12,7.1957879E11,5.0160871E11,0.0,5.4842593E9,1.85556214E10,4400143.5,2.09597153E10,9.9142267E9
0.8333333,2.2256906E7,8.7208814E11,4.18250254E12,6.2481046E11,4.33598464E11,4.6407574E10,5.6571646E10,2.6157097E10,1.8317718E7,2.42100224E10,1.86237972E10
0.9166667,1.8204316E7,1.59402361E12,1.84632633E12,4.36041548E11,3.47248591E11,1.9779063E11,5.8452087E10,2.45094216E10,1.747618E7,2.61513421E10,1.9455234E10
1.0,1.4528782E7,1.74965627E12,9.772885E11,2.83867054E11,3.0595806E11,2.00101839E11,5.5662604E10,2.329728E10,1.6653533E7,2.60834181E10,1.84095949E10
1.0833334,1.1595784E7,1.65454571E12,4.05559017E11,1.81794734E11,3.81892035E11,1.76682107E11,4.7449899E10,2.65943532E10,1.5868557E7,2.06703882E10,1.69434726E10
1.1666666,9254884.0,1.5478763E12,1.59111414E11,1.19415218E11,3.35261041E11,1.46564825E11,4.0291107E10,2.42769674E10,1.5098542E7,1.76946156E10,1.52011858E10
1.25,2.4959366E7,1.42696592E12,1.3254973E11,7.8911152E10,2.53442212E11,1.27909773E11,2.92118999E10,2.37778964E10,1.88159E7,1.40946924E10,1.41084262E10
1.3333334,6.0211872E7,1.37359485E12,1.19252181E11,4.1750012E10,1.84056906E11,1.06225926E11,2.12642406E10,2.20927447E10,3.2123018E7,9.8608824E9,1.27198781E10
1.4166666,4.651492E7,1.37852446E12,9.6622035E10,1.93031823E10,1.32427907E11,9.6239911E10,1.53602386E10,2.08899891E10,3.0523766E7,6.2271749E9,1.13549179E10
1.5,3.696702E7,1.29485609E12,7.9356699E10,1.30503639E10,8.7010271E10,8.1908957E10,1.11396925E10,2.034142E10,2.8979036E7,3.76779469E9,9.1649085E9
1.5833334,2.9501646E7,1.15877845E12,6.6277081E10,7.6567383E9,8.9183953E10,6.5178571E10,7.3829627E9,3.9729742E10,2.750276E7,2.45861683E9,6.5619625E9
1.6666666,2.3566316E7,1.0066424E12,4.7392272E10,4.4006441E9,7.7737099E10,5.1434959E10,4.807678E9,2.94956114E10,2.6064034E7,1.62792435E9,4.848382E9
1.75,6.4147964E7,9.2499719E11,3.8499631E10,2.72210304E9,6.0706845E10,3.92825E10,3.05704883E9,8.3405341E10,2.9122618E7,1.69095974E9,3.65264845E9
1.8333334,1.37691088E8,9.3216702E11,3.1437695E10,1.77522381E9,4.6903149E10,3.06628526E10,2.43729536E9,9.8671477E10,4.1793768E7,1.69259379E9,2.92087501E9
1.9166666,1.05973576E8,9.2901055E11,2.56926228E10,1.53197043E9,3.6272919E10,2.54022881E10,1.93116826E9,6.0568879E10,3.9587876E7,1.39983962E9,2.31638758E9
2.0,8.5088496E7,8.446897E11,2.1087916E10,1.14654042E9,2.79196733E10,1.78658304E10,1.54119974E9,3.9281889E10,3.7452956E7,1.17046042E9,1.81636467E9
2.0833333,6.8663016E7,7.6593784E11,1.71622482E10,1.78492378E9,2.24793989E10,1.34209485E10,1.26822285E9,1.84021598E11,3.5412868E7,1.21957798E9,1.47274278E9
2.1666667,5.5402868E7,6.6710851E11,1.38937354E10,3.18507725E9,1.63545375E10,9.5323433E9,8.9593018E8,1.30448384E11,3.3462494E7,1.39962419E9,1.31031219E9
2.25,9.9226712E7,6.1655482E11,1.25672366E10,2.7495127E9,1.09206272E10,7.1084247E9,7.8488378E8,3.27455375E11,3.5931568E7,1.19895168E9,1.47241434E9
2.3333333,1.77725856E8,5.8214724E11,1.80943196E10,2.40389427E9,8.3936369E9,5.0570911E9,8.8651123E8,3.06964169E11,4.769658E7,1.13490867E9,1.82299917E9
2.4166667,1.28441704E8,5.9071123E11,1.46055414E10,1.50366246E9,6.6172718E9,5.2709693E9,5.6680755E8,1.99631208E11,4.5014908E7,1.09424256E9,1.36466138E9
2.5,1.0309176E8,5.8686302E11,1.16904827E10,5.9726829E8,5.2959457E9,4.3891133E9,5.3960627E8,1.12749806E11,4.2390296E7,9.9352102E8,1.0833815E9
2.5833333,8.3338584E7,5.41173449E11,9.8538066E9,3.00153728E8,4.5849078E9,3.87377126E9,4.40665696E8,2.43345261E11,3.9927608E7,9.3317235E8,1.02311814E9
2.6666667,6.7333984E7,4.94098743E11,7.6421883E9,2.98463456E8,2.64297114E9,3.27560294E9,3.05678976E8,1.66414647E11,3.76063E7,1.00667795E9,9.4384922E8
2.75,1.1663056E8,4.38622814E11,7.6251366E9,1.9248528E8,1.98711731E9,2.73335219E9,2.59682912E8,2.48495178E11,3.966876E7,1.07269427E9,1.09245773E9
2.8333333,2.12470864E8,4.21439046E11,8.2190648E9,9.520816E7,1.40593933E9,3.09497856E9,2.41651098E9,1.9764845E11,5.0905828E7,9.502928E8,1.36711974E9
2.9166667,1.51669072E8,4.09688474E11,5.4977449E9,8.7687864E7,1.06686374E9,3.39824922E9,2.16429619E9,1.14011931E11,4.800438E7,9.8192307E8,1.34071552E9
