"Mean biomass (tons), excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5833333,0.0,0.0,0.0,2850.7644,4756.526,0.0,0.0,5851.3896,0.0,642.514,0.0
0.6666667,0.0,0.0,0.0,12703.499,14354.862,0.0,0.0,35914.574,0.0,2904.669,0.0
0.75,15754.167,0.0,2754.9453,19532.287,13896.92,0.0,1584.085,60281.027,2101.4426,4697.722,5320.448
0.8333333,47526.688,28831.15,25074.365,18360.412,13957.413,2912.8674,4395.65,79623.05,9102.776,6393.602,14365.963
0.9166667,38965.582,64792.598,26604.807,13680.688,12538.633,14056.219,5627.8843,95440.43,9223.695,8278.623,17806.842
1.0,31098.143,105656.18,73171.87,9469.591,16033.909,15992.81,5999.334,114029.73,9266.851,10656.694,18659.309
1.0833334,24820.203,116418.51,90426.42,7207.411,22309.107,18291.957,5327.234,131423.66,9344.747,13393.565,20571.379
1.1666666,19809.623,125364.945,89523.64,5582.662,23762.148,16945.145,4831.0435,142167.73,9358.6875,17503.473,23291.953
1.25,41307.46,133817.11,98156.57,4601.4067,21510.006,17480.83,4408.5713,148175.69,11541.608,21731.443,25323.352
1.3333334,97560.52,146388.8,133341.1,3725.9136,19961.152,18338.156,3964.2683,152087.97,18693.28,26463.146,27068.64
1.4166666,76665.09,161577.1,144254.64,2610.563,18016.623,19384.04,3598.3303,153330.42,18609.195,30099.941,27305.25
1.5,61624.375,170147.86,150176.19,2465.7422,16878.82,18034.244,3030.587,152393.39,18542.094,33336.5,26856.975
1.5833334,50777.098,175219.56,164654.89,2221.4707,18009.527,16108.028,2579.0154,150696.8,18353.992,36621.754,25886.803
1.6666666,41329.957,178035.45,161305.47,1877.7963,17609.043,14429.05,2166.7322,148662.4,18183.586,38924.68,25154.98
1.75,69923.58,182608.92,149074.77,1836.442,16078.388,12453.534,1992.1683,145156.03,20075.246,41350.387,24295.396
1.8333334,141856.83,195034.12,145163.22,1584.8798,14249.165,11015.691,2094.1423,143340.98,26860.512,43189.543,25351.008
1.9166666,110436.336,207547.47,143383.58,1452.2659,12148.965,10405.677,2022.7991,141460.89,26424.361,45158.84,26627.338
2.0,93751.58,213469.55,132951.45,1366.5828,10488.541,8924.565,1870.1006,141305.75,25804.826,45845.105,27524.531
2.0833333,79892.22,216696.19,125364.28,1415.4244,10050.473,7735.63,1729.9559,142412.84,25163.623,47062.152,28142.156
2.1666667,68015.26,217583.67,114927.51,1544.4713,8354.073,6716.7153,1505.9792,139884.44,24461.719,48266.844,28712.377
2.25,88538.06,216836.34,104011.25,1488.277,6691.9844,6045.8994,1463.1543,141104.64,25623.762,48574.11,29594.29
2.3333333,157425.19,218735.89,101840.75,1455.526,6079.87,5908.1313,1501.4838,139057.39,30807.934,48545.53,30853.81
2.4166667,117965.82,227188.78,93302.18,1417.3766,5427.389,7470.04,1540.5548,136339.53,29669.082,48493.523,31439.025
2.5,98873.766,239789.58,81129.43,1380.0275,5054.9907,7735.47,1654.8291,134670.78,28438.518,47774.715,32203.69
2.5833333,85655.19,242876.3,77442.836,1410.7827,5252.581,7953.158,1675.9403,134095.64,27306.324,47354.953,33194.52
2.6666667,74239.984,239758.8,67106.37,1485.917,4757.84,8074.0225,1598.6099,132368.89,26235.404,46474.93,33702.957
2.75,99675.4,233595.3,51397.89,1495.4327,4460.579,7880.914,1617.7742,131548.98,26837.88,46081.875,34639.63
2.8333333,166521.06,233857.88,56855.87,1434.8829,4349.546,8268.2705,2145.8923,132285.98,31152.85,45141.61,36978.715
2.9166667,122432.84,238665.52,55244.98,1462.4608,4226.429,8705.46,2188.652,130952.33,29869.193,44989.66,38467.156
3.0,106478.836,241227.64,61381.203,1507.7656,4058.6406,8506.901,2015.2815,130013.94,28590.068,44045.29,39356.043
3.0833333,94739.78,240322.19,69249.7,1559.2345,4218.262,8331.034,1853.5652,128874.32,27290.234,44094.047,40127.754
3.1666667,81066.31,237278.25,63842.805,1533.2661,4304.832,7799.397,1717.6938,126273.66,26023.275,43806.01,40723.613
3.25,98215.914,232600.61,61700.574,1522.3378,4081.5767,7299.5664,1760.947,125963.66,26516.62,43149.996,41679.285
3.3333333,141114.64,194985.36,71206.125,1500.8248,4031.2986,7264.0444,2047.8085,123975.86,30364.379,41866.05,42580.375
3.4166667,92979.15,158743.23,76398.586,1502.2656,3946.7458,8614.888,2053.6301,121421.82,28988.889,40854.504,43089.99
3.5,80252.33,140219.38,83883.35,1482.5277,3863.1277,9061.787,1961.4348,119369.69,27697.412,41334.14,43348.59
3.5833333,71172.95,147247.42,90255.69,1549.3352,4776.1787,8822.133,1942.4585,119212.195,26508.31,41114.613,43936.516
3.6666667,64062.227,150290.02,88865.5,1561.6095,5210.4917,8522.336,1973.0616,118310.12,25521.273,41126.203,44235.203
3.75,76868.77,150962.39,83311.89,1586.7725,4575.0713,8138.918,1958.1389,117490.016,26268.77,42795.168,46040.45
3.8333333,112993.46,152491.9,100499.03,1533.4686,4488.122,9479.979,2473.111,117777.61,30623.93,42310.113,48037.35
3.9166667,73480.64,146305.1,109152.32,1510.3241,4370.8403,13071.4795,2422.5554,120615.19,29523.086,42464.855,49509.76
4.0,64377.1,153787.11,114915.336,1466.7129,4524.522,12900.856,2345.8628,121844.71,28417.344,43404.637,50272.766
