"cumulative catch (number of fish caught per time step of saving). ex: if time step of saving is the year, then annual catches in fish numbers are saved"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13129.233,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32817.5,0.0
0.5833333,274472.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206895.3,0.0
0.6666667,773047.1,0.0,0.0,0.0,0.0,0.0,0.0,1.69445E7,0.0,621055.9,0.0
0.75,631246.75,1.87822848E8,7.262856E7,0.0,0.0,0.0,4.966303E-4,5.7585252E7,0.0,1076737.1,150344.94
0.8333333,502579.3,7.0418035E8,1.31514552E8,0.0,0.0,0.10671309,4265.2515,6.5767024E7,0.0,1265005.9,1495294.9
0.9166667,400919.9,1.04201011E9,1.71333952E8,0.0,0.04082473,0.20367688,4872.1553,7.8741808E7,1908.3904,1652344.5,4985810.0
1.0,319929.25,1.46293133E9,1.64385952E8,0.0,29138.273,223162.14,7196.954,1.09656112E8,9729.049,1778949.9,6781547.5
1.0833334,561774.0,1.49845184E9,1.78698464E8,15.3113165,253092.48,207625.83,12796.311,1.17809456E8,17126.377,1835139.1,6497996.5
1.1666666,1117516.4,1.64096064E9,2.19037488E8,1014.60565,345504.4,439047.34,25764.453,1.21581728E8,34261.63,2351328.5,6217279.0
1.25,1190078.5,2.16977997E9,2.17903472E8,1007.2923,669152.3,410505.7,30389.576,1.20073336E8,43082.66,2596823.2,6404876.0
1.3333334,1136032.2,2.70560051E9,2.23182912E8,6616.268,1106079.8,1053237.1,34718.855,1.18520928E8,51317.516,3073083.8,6843379.0
1.4166666,893592.75,2.73138278E9,2.5220872E8,85940.71,1473712.1,1665178.4,38232.22,1.16954048E8,70213.65,4548844.5,6684673.0
1.5,915855.1,2.60387072E9,2.69643488E8,174085.8,1861430.1,1785465.2,39134.535,1.11576776E8,87096.55,5412802.5,6942208.5
1.5833334,1025708.6,2.90006989E9,3.72125472E8,291977.44,3112736.2,1885586.1,38148.07,1.03604104E8,103995.055,5539992.0,7176344.5
1.6666666,1603164.5,2.93211341E9,4.73586592E8,378010.47,4163065.0,2246169.2,39732.516,1.0402204E8,118114.55,5712473.5,6864670.0
1.75,1651520.9,2.81030835E9,4.08314016E8,373275.66,4344567.0,2486693.0,42296.16,1.0042876E8,120634.13,5615405.0,7023136.5
1.8333334,1264495.6,2.81700608E9,3.74103872E8,463719.62,4171587.5,2770549.0,45727.117,9.5919176E7,123189.54,5635345.5,7385723.0
1.9166666,717726.75,3.25871411E9,4.78954272E8,499640.0,4383107.0,3573504.8,46931.62,9.0738024E7,120758.52,5628402.0,7381039.5
2.0,565523.75,3.64236851E9,4.16783744E8,530961.75,4187312.5,3888236.5,43907.4,8.6589888E7,117148.23,8331100.0,7074378.5
2.0833333,698043.8,3.72425626E9,4.01028736E8,620829.06,4019820.0,3746664.5,42095.254,8.2463016E7,119878.266,9123274.0,6779385.0
2.1666667,1026926.8,3.63989197E9,3.64168256E8,579013.25,4293777.0,3521249.5,40589.957,7.908676E7,119197.96,9609180.0,6597712.0
2.25,1376185.5,3.74098483E9,3.77033824E8,619170.25,5522707.0,3973179.8,39171.484,7.4277464E7,120790.54,9126164.0,7810257.0
2.3333333,1311446.9,4.28315162E9,3.46929088E8,577393.4,5059139.5,4943133.0,36916.535,7.2162288E7,122100.234,8803827.0,8028974.0
2.4166667,758636.6,4.6750766E9,3.13915552E8,546039.0,4781680.0,5457327.5,34820.348,6.951504E7,116193.63,8785249.0,7804071.5
2.5,635168.7,4.8640369E9,2.2088232E8,603964.5,4619408.5,5390910.5,34554.375,6.6395408E7,111702.484,9362934.0,8278577.5
2.5833333,631258.94,4.9255409E9,1.72713968E8,577704.8,4864204.5,5642915.0,36614.83,6.6387224E7,108884.23,1.2845779E7,8459135.0
2.6666667,1017627.75,5.0318546E9,1.53110592E8,541016.8,4738529.5,5603237.0,36191.395,6.6041776E7,105977.26,1.3419932E7,8120772.0
2.75,1132015.8,5.092948E9,1.06053576E8,504446.44,4433866.0,5907483.5,33781.805,6.5783468E7,106965.55,1.2731671E7,9252188.0
2.8333333,946777.2,5.2544374E9,8.6396992E7,517957.75,4961598.5,5912597.5,31555.379,6.8253816E7,104965.055,1.2248548E7,8930320.0
2.9166667,620617.1,5.6987822E9,1.34393088E8,573879.6,5515178.5,6150700.5,29648.87,6.6721072E7,102928.56,1.1686089E7,9304983.0
3.0,524009.25,5.6652119E9,1.50793936E8,619311.1,6419578.5,6750625.0,27746.814,6.9034176E7,99902.64,1.1111212E7,1.1560464E7
3.0833333,631307.44,6.1894533E9,1.3857816E8,597775.9,6623430.0,6846853.5,27731.182,6.946072E7,96974.164,1.0503085E7,1.2647599E7
3.1666667,736456.8,6.2934385E9,1.74796688E8,559877.0,6454815.5,6731387.0,27197.06,6.7553384E7,93475.27,9910933.0,1.349777E7
3.25,751300.94,6.3153147E9,1.70080416E8,521718.7,7818906.0,6714320.0,28417.693,6.52603E7,92323.07,9744400.0,1.5154628E7
3.3333333,711400.1,5.2579241E9,1.5263504E8,492494.7,7565363.0,7250881.0,36226.703,6.4350932E7,88903.875,9239001.0,1.645517E7
3.4166667,398379.94,4.3260933E9,1.74747504E8,465813.78,7263781.5,8916444.0,44679.195,6.5572008E7,85218.02,9145558.0,1.6757425E7
