"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4051638,0.0
0.5833333,451.0452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.987467,0.0
0.6666667,1410.6771,0.0,0.0,0.0,0.0,0.0,0.0,270.30676,0.0,7.235386,0.0
0.75,1168.2941,83.340866,208.04645,0.0,0.0,0.0,5.0381153E-8,1701.5206,0.0,12.838916,4.775962
0.8333333,940.3794,864.44836,714.9478,0.0,0.0,1.6234732,1.1458817E-6,2670.9888,0.0,22.952234,33.291172
0.9166667,757.8116,1641.2705,1492.3398,0.0,0.018030109,6.8896303,0.0072483043,3560.8555,11.5326185,38.456356,76.423935
1.0,610.52203,2218.8308,1609.157,0.0,1.9146941,8.792179,0.040987436,4891.8086,33.668243,58.107624,222.25755
1.0833334,765.11786,2558.73,1922.5162,8.977724E-6,7.2790866,15.902838,0.105336264,6067.1157,58.66274,80.742455,459.58542
1.1666666,1805.7452,2998.4922,2546.568,0.033678193,14.287519,19.791965,0.17091711,6757.194,70.919556,106.05683,566.8812
1.25,1992.914,3853.4038,2737.425,0.947971,32.35429,34.32648,0.25833592,7300.358,84.101944,134.84682,692.9176
1.3333334,1646.473,4501.998,3734.9382,2.0192375,48.82041,44.647976,0.32849956,7732.39,101.19436,160.78603,882.07184
1.4166666,1215.0087,5337.41,4402.1445,3.531117,91.44273,61.64022,0.546624,7941.5312,114.949104,188.91165,1069.8998
